date,open,high,low,close,volume
2022-03-29,3216.012,3229.177,3196.455,3203.939,31627364900
2022-03-28,3185.167,3230.215,3159.835,3214.503,34499487300
2022-03-25,3247.157,3257.106,3211.645,3212.24,34002000600
2022-03-24,3256.057,3266.887,3236.659,3250.264,32900665400
2022-03-23,3264.792,3279.887,3251.982,3271.033,34987537000
2022-03-22,3249.543,3279.113,3239.532,3259.862,36119615800
2022-03-21,3255.615,3267.498,3223.389,3253.686,35422848800
2022-03-18,3207.152,3260.783,3197.358,3251.072,37303561100
2022-03-17,3215.011,3260.167,3202.934,3215.045,42081345800
2022-03-16,3107.669,3177.788,3023.305,3170.71,44466718900
2022-03-15,3192.364,3196.916,3063.965,3063.965,46503716400
2022-03-14,3271.89,3297.797,3223.533,3223.533,33796868700
2022-03-11,3259.323,3315.66,3217.419,3309.747,38406712700
2022-03-10,3312.179,3326.583,3291.235,3296.092,37833637600
2022-03-09,3303.706,3321.481,3147.677,3256.388,46628556900
2022-03-08,3372.555,3383.633,3287.341,3293.53,41592676600
2022-03-07,3438.56,3438.56,3360.739,3372.855,39358899900
2022-03-04,3459.985,3474.882,3437.696,3447.649,39352658100
2022-03-03,3495.928,3500.287,3473.338,3481.113,41259428900
2022-03-02,3478.293,3486.621,3467.0,3484.192,32936768400
2022-03-01,3471.365,3491.132,3465.715,3488.835,32600166200
2022-02-28,3450.316,3462.306,3425.516,3462.306,34583838800
2022-02-25,3445.336,3480.176,3440.934,3451.406,37754255600
2022-02-24,3474.369,3486.977,3400.214,3429.956,48835490100
2022-02-23,3458.514,3490.763,3458.18,3489.147,32560489500
2022-02-22,3473.287,3473.393,3437.672,3457.146,32627948400
2022-02-21,3488.406,3492.199,3471.686,3490.612,30154174000
2022-02-18,3451.632,3490.757,3447.027,3490.757,29514996300
2022-02-17,3464.209,3480.972,3454.277,3468.035,29726268200
2022-02-16,3457.073,3475.058,3453.801,3465.831,27499391300
2022-02-15,3428.045,3447.492,3421.64,3446.089,27555932200
2022-02-14,3451.847,3457.265,3415.446,3428.882,31527444800
2022-02-11,3472.276,3500.147,3459.33,3462.948,36135609000
2022-02-10,3481.91,3488.855,3464.217,3485.907,35566626700
2022-02-09,3450.818,3484.739,3444.085,3479.946,35024993600
2022-02-08,3428.542,3453.186,3390.458,3452.629,36609386500
2022-02-07,3407.762,3434.026,3407.762,3429.581,32048521100
2022-01-28,3407.593,3417.045,3356.556,3361.44,29085525700
2022-01-27,3456.102,3456.363,3392.015,3394.247,28060653400
2022-01-26,3442.692,3462.123,3417.759,3455.668,27512282800
2022-01-25,3509.285,3519.833,3433.061,3433.061,32735381300
2022-01-24,3508.244,3531.608,3500.139,3524.105,28026834200
2022-01-21,3546.75,3547.0,3514.885,3522.568,32653488000
2022-01-20,3556.226,3576.259,3540.555,3555.063,37950984600
2022-01-19,3567.631,3578.735,3541.662,3558.18,33323526900
2022-01-18,3541.89,3579.313,3531.33,3569.914,37714643500
2022-01-17,3522.085,3546.085,3519.426,3541.666,31288673300
2022-01-14,3544.065,3548.42,3519.322,3521.256,37693702400
2022-01-13,3601.027,3601.073,3555.158,3555.259,36936836500
2022-01-12,3578.163,3599.499,3572.097,3597.432,34313295600
2022-01-11,3589.904,3602.145,3562.754,3567.441,35976186300
2022-01-10,3572.743,3593.519,3555.126,3593.519,35622261000
2022-01-07,3588.985,3607.232,3577.098,3579.543,43630696100
2022-01-06,3581.218,3594.489,3559.88,3586.079,37154054300
2022-01-05,3628.263,3628.263,3583.467,3595.176,42390202800
2022-01-04,3649.151,3651.892,3610.092,3632.329,40502776900
2021-12-31,3626.242,3642.843,3624.942,3639.775,32968193200
2021-12-30,3596.492,3628.918,3595.496,3619.189,30783929100
2021-12-29,3630.916,3630.916,3596.323,3597.0,30513176600
2021-12-28,3619.642,3631.077,3607.364,3630.112,31620224200
2021-12-27,3613.047,3632.188,3601.935,3615.974,32923529300
