,USERID,ORDERDATE,ORDERID,AMOUNTINFO
0,142074,2018-01-01,4196439032,9399.0
1,56927,2018-01-01,4198324983,8799.0
2,87058,2018-01-01,4191287379,6899.0
3,136104,2018-01-01,4198508313,5999.0
4,117831,2018-01-01,4202238313,5399.0
5,151069,2018-01-01,3888183440,4548.0
6,124094,2018-01-01,4175774836,4298.0
7,107268,2018-01-01,4192119481,4298.0
8,146768,2018-01-01,4192909363,3999.0
9,121834,2018-01-01,4197922462,3988.0
10,154068,2018-01-01,4191663914,3899.0
11,55156,2018-01-01,4193733866,3719.0
12,64562,2018-01-01,4194822758,3598.0
13,125593,2018-01-01,4196213552,3588.0
14,117760,2018-01-01,4175460346,3499.0
15,135673,2018-01-01,4197491569,3488.0
16,113584,2018-01-01,4182011436,3399.0
17,159480,2018-01-01,4191635389,3399.0
18,153742,2018-01-01,4202458687,3349.0
19,117957,2018-01-01,4195841311,3099.0
20,75849,2018-01-01,4197103430,
21,136767,2018-01-01,4033881096,2672.0
22,97925,2018-01-01,4197939746,2599.0
23,122326,2018-01-01,4201905174,2588.0
24,92480,2018-01-01,4197166986,2499.0
25,62330,2018-01-01,4191191184,2468.0
26,64655,2018-01-01,4192592185,2344.0
27,76294,2018-01-01,4136493270,2278.0
28,107527,2018-01-01,4193744860,2199.0
29,100323,2018-01-01,3925489681,2198.0
30,89435,2018-01-01,3881000307,2198.0
31,151826,2018-01-01,4192993873,2099.0
32,65315,2018-01-01,4179320958,1999.0
33,150505,2018-01-01,4192058594,1999.0
34,70555,2018-01-01,3805124565,1988.0
35,86102,2018-01-01,4191746669,1899.0
36,118357,2018-01-01,4196469613,1699.0
37,121566,2018-01-01,4197508017,1348.0
38,67800,2018-01-01,4189176807,1200.0
39,83610,2018-01-01,4202746015,1198.0
40,162424,2018-01-01,4199093714,1139.0
41,94579,2018-01-01,4195626781,1028.0
42,59009,2018-01-01,4199468462,999.0
43,96211,2018-01-01,4191211496,999.0
44,138800,2018-01-01,3767322038,998.0
45,140249,2018-01-01,4182012608,945.0
46,60051,2018-01-01,4201913229,939.0
47,102447,2018-01-01,3554296002,799.0
48,119972,2018-01-01,4197665777,799.0
49,128492,2018-01-01,4159029426,791.0
50,101702,2018-01-01,4191252529,666.0
51,149672,2018-01-01,4202472738,638.0
52,144178,2018-01-01,4135901830,539.0
53,68696,2018-01-01,4199773703,499.0
54,76814,2018-01-01,4203250207,499.0
55,114062,2018-01-01,4196447326,499.0
56,140523,2018-01-01,4194468293,399.0
57,71042,2018-01-01,4202102813,399.0
58,87761,2018-01-01,4190196783,369.0
59,120846,2018-01-01,4172755482,369.0
60,101625,2018-01-01,4084206268,359.0
61,158855,2018-01-01,4192179920,349.0
62,82539,2018-01-01,4190628159,339.0
63,140699,2018-01-01,4185174793,338.0
64,108549,2018-01-01,4200551598,299.0
65,108556,2018-01-01,4201338166,299.0
66,57113,2018-01-01,4191632315,279.0
67,94774,2018-01-01,4171595969,268.0
68,152996,2018-01-01,3841786689,199.0
69,67699,2018-01-01,4168782787,199.0
70,86124,2018-01-01,4203270246,199.0
71,64909,2018-01-01,4107321924,198.0
72,103714,,4136159682,189.0
73,162143,2018-01-01,4198064688,189.0
74,66091,2018-01-01,4192288308,179.0
75,116476,2018-01-01,4194367262,179.0
76,127314,2018-01-01,3561418297,165.0
77,96244,2018-01-01,4146603617,155.0
78,58154,2018-01-01,4198160677,149.0
79,119297,2018-01-01,4082590507,149.0
80,149222,2018-01-01,4195154695,138.0
81,146174,2018-01-01,3976446642,126.0
82,146809,2018-01-01,4175359306,119.0
83,69019,2018-01-01,4084146635,118.0
84,100772,2018-01-01,4191535488,115.0
85,114395,2018-01-01,3978413671,115.0
86,74651,2018-01-01,4199870258,109.0
87,136640,2018-01-01,4196725355,105.0
88,72109,2018-01-01,4187965846,99.0
89,135820,2018-01-01,3535568703,99.0
90,149708,2018-01-01,4190804929,99.0
91,127198,2018-01-01,4195178217,99.0
92,97053,2018-01-01,4194647897,99.0
93,96302,2018-01-01,4153947428,99.0
94,79929,2018-01-01,4117192697,89.9
95,117506,2018-01-01,4171941913,89.0
96,117537,2018-01-01,4198170040,78.0
97,132544,2018-01-01,4196596760,78.0
98,141745,2018-01-01,4200054039,75.0
99,64187,2018-01-01,4192525909,71.0
100,131460,2018-01-01,4197485016,69.0
101,159697,2018-01-01,4199597638,69.0
102,110002,2018-01-01,4190749466,69.0
103,98294,2018-01-01,4083978222,65.9
104,91267,2018-01-01,4201215001,65.0
105,134485,2018-01-01,4198151016,59.0
106,91669,2018-01-01,4192195125,59.0
107,95311,2018-01-01,4181578615,59.0
108,100596,2018-01-01,4171622551,59.0
109,102137,2018-01-01,4191254539,59.0
110,106932,2018-01-01,4172764453,59.0
111,117527,2018-01-01,4190009675,59.0
112,158589,2018-01-01,3632999787,59.0
113,121498,2018-01-01,4194472878,59.0
114,155209,2018-01-01,4177940815,
115,70290,2018-01-01,3786040409,59.0
116,89357,2018-01-01,4196240121,55.0
117,68431,2018-01-01,4192090752,49.9
118,53833,2018-01-01,4180341167,49.9
119,104653,2018-01-01,4202821226,49.0
120,118743,2018-01-01,3955920660,49.0
121,63477,2018-01-01,4019334931,49.0
122,81521,2018-01-01,4196085741,49.0
123,127091,2018-01-01,4191186487,49.0
124,81106,2018-01-01,4191144844,49.0
125,144345,2018-01-01,4154680126,49.0
126,87445,2018-01-01,4192590064,49.0
127,73550,2018-01-01,4109633080,48.0
128,125120,2018-01-01,4199481764,44.9
129,116450,2018-01-01,4191715185,44.9
130,121476,2018-01-01,4191625514,39.9
131,122462,2018-01-01,4194286220,39.9
132,143140,2018-01-01,4200170917,39.9
133,160349,2018-01-01,3981402332,39.0
134,126006,2018-01-01,4181840452,39.0
135,87634,2018-01-01,4201870241,39.0
136,53281,2018-01-01,4098064680,39.0
137,97993,2018-01-01,4192028073,39.0
138,164077,2018-01-01,3517237566,37.0
139,80935,2018-01-01,4203195428,35.0
140,113853,2018-01-01,4191395465,29.9
141,152287,2018-01-01,4186141391,29.8
142,151247,2018-01-01,4199885822,29.8
143,93630,2018-01-01,4200852461,29.0
144,113711,2018-01-01,4198977419,29.0
145,155796,2018-01-01,4190308387,29.0
146,104364,2018-01-01,4199435786,29.0
147,157114,2018-01-01,3955147573,29.0
148,135723,2018-01-01,3992305859,27.9
149,131566,2018-01-01,4203086537,26.0
150,74669,2018-01-01,4171660031,25.5
151,143247,2018-01-01,4197916826,25.0
152,53937,2018-01-01,4194373571,23.0
153,157599,2018-01-01,4193094881,21.9
154,72253,2018-01-01,4080095261,21.9
155,93090,2018-01-01,4179023397,21.6
156,64146,2018-01-01,4171965488,21.6
157,149040,2018-01-01,4192001731,19.9
158,88552,2018-01-01,4190801822,19.9
159,139975,2018-01-01,4200306443,19.9
160,139621,2018-01-01,4195084953,19.9
161,86519,2018-01-01,4190053584,19.9
162,54872,2018-01-01,3980171395,19.9
163,51647,2018-01-01,4154844646,16.9
164,119463,2018-01-01,4193575550,16.9
165,123776,2018-01-01,4167362296,16.9
166,57709,2018-01-01,4116037489,16.5
167,92343,2018-01-01,3906386793,16.0
168,150087,2018-01-01,4196654014,16.0
169,134834,2018-01-01,4110789228,14.9
170,77227,2018-01-01,3847577831,13.9
171,56525,2018-01-01,4102139030,13.9
172,100031,2018-01-01,4109698193,13.8
173,145619,2018-01-01,4017014111,13.8
174,86822,2018-01-01,4111560669,12.9
175,120064,2018-01-01,4103163041,12.9
176,54670,2018-01-01,4202623046,12.9
177,121180,2018-01-01,4097610959,12.5
178,103876,2018-01-01,4105529764,11.9
179,100304,2018-01-01,4107142022,11.9
180,126442,2018-01-01,4184583942,11.9
181,59576,2018-01-01,4112416474,11.9
182,83244,2018-01-01,4107524904,11.9
183,107970,2018-01-01,4190209528,11.9
184,90413,2018-01-01,4200903342,11.9
185,123661,2018-01-01,4202001101,11.5
186,78115,2018-01-01,4175214719,11.5
187,137778,2018-01-01,4077587142,10.9
188,99952,2018-01-01,4201301889,9.9
189,65041,2018-01-01,4106923611,9.9
190,79114,2018-01-01,4106713393,9.9
191,163916,2018-01-01,4175642869,9.9
192,97051,2018-01-01,4106161920,9.9
193,126216,2018-01-01,4117610630,9.9
194,59904,2018-01-01,3979583882,9.9
195,62785,2018-01-01,4072487480,9.9
196,76555,2018-01-01,4195451710,9.9
197,128346,2018-01-01,4101383750,9.9
198,89992,2018-01-01,3980155224,9.9
199,159814,2018-01-01,4110274858,9.9
200,61971,2018-01-01,4107323448,9.9
201,112447,2018-01-01,4188584214,9.9
202,156071,2018-01-01,4196670970,9.9
203,91591,2018-01-01,4162958278,9.9
204,139777,2018-01-01,4163585461,9.9
205,86928,2018-01-01,4192390982,9.9
206,70402,2018-01-01,4151022443,9.9
207,124293,2018-01-01,4119511112,9.8
208,133718,2018-01-01,4177199193,9.8
209,136173,2018-01-01,4115300094,9.8
210,72050,2018-01-01,4123459977,9.8
211,92067,2018-01-01,4101352203,9.8
212,55494,2018-01-01,4170979790,9.8
213,130722,2018-01-01,4107426278,9.8
214,112589,2018-01-01,4202435774,9.0
215,120362,2018-01-01,4110633480,8.9
216,123758,2018-01-01,3992939286,8.9
217,117230,2018-01-01,4196201749,8.9
218,151780,2018-01-01,4097371812,8.8
219,113695,2018-01-01,4112441050,8.6
220,122675,2018-01-01,4139516810,8.6
221,105227,2018-01-01,4198492886,8.5
222,70451,2018-01-01,4177168409,8.0
223,106297,2018-01-01,4098684985,7.9
224,151238,2018-01-01,4109083677,7.8
225,146584,2018-01-01,4018231928,7.8
