ID,CNT_TBM,CNT_ATM,CNT_POS,CNT_CSC,CNT_TOT
16840,10,15,2,1,28
8846,42,32,5,7,86
27084,13,23,4,1,41
18573,84,56,3,6,149
71088,136,3,2,43.06978837,200
34600,74,14,12,43.06978837,160
9412,55,19,17,43.06978837,168
57456,13,3,2,1,19
65745,126,32,22,1,181
86011,15,10,5,1,31
7411,14,3,2,1,20
70275,95,3,2,2,102
53022,73,67,2,1,143
74777,49,15,2,2,68
58161,81,25,74.12481095,4,191
15051,20,27,2,1,50
12543,80,17,24,3,124
82847,79,24,38,5,146
64232,98,12,2,16,128
14858,13,37,2,1,53
84859,119,3,2,5,129
58478,22,3,2,8,35
24457,88,3,15,4,110
24274,11,12,8,3,34
605,21,3,2,1,27
24885,69,32,30,7,138
4701,41,3,2,1,47
98257,123,56,52,11,242
76510,21,38,15,5,79
61924,84,3,2,2,91
64557,128,30,2,1,161
30767,355,3,2,21,381
44518,33,10,2,1,46
83771,53,55,46,22,176
63133,104,41,74.12481095,11,247
90040,76,27,38,33,174
53883,13,3,2,2,20
42349,19,6,2,3,30
23282,49,3,2,1,55
23498,77,63,4,3,147
99454,21,14,68,3,106
55991,90,13,68,34,205
62655,99,19,22,10,150
65052,290,22,20,1,333
8887,55,51,2,4,112
7109,30,26,13,8,77
55569,97,3,2,1,103
87277,49,30,7,1,87
62290,14,22,2,6,44
40741,244,27,2,12,285
16787,17,15,2,7,41
47169,42,3,2,1,48
11923,11,5,2,1,19
70299,44,3,2,9,58
49849,85,14,24,11,134
49745,79,55,20,36,190
32057,20,23,2,1,46
60263,32,37,3,1,73
34705,151,3,2,3,159
14526,25,16,55,1,97
22255,16,7,11,1,35
16802,64,3,2,3,72
37443,50,3,2,2,57
49436,80,3,39,2,124
75971,39,45,2,2,88
30899,99,22,20,6,147
86485,25,46,2,1,74
57846,37,3,2,2,44
23546,18,6,3,6,33
46811,42,74,8,4,128
16230,58,25,19,7,109
63160,151,3,2,1,157
71358,44,12,2,1,59
18143,86,82.06801162,2,1,190
63019,11,3,2,1,17
63299,56,38,4,4,102
1740,25,3,2,1,31
85250,52,54,19,3,128
3920,53,40,2,2,97
73260,50,3,2,15,70
654,12,3,2,3,20
76251,27,24,2,1,54
36946,91,20,2,1,114
60613,13,8,2,1,24
50985,45,3,2,10,60
98231,56,15,2,9,82
82375,100,40,12,1,153
58060,16,17,4,1,38
64789,35,33,2,6,76
39265,103,3,2,5,113
90854,76,25,45,25,171
95718,151,20,74.12481095,7,255
18808,106,17,47,3,173
5246,37,14,2,2,55
77463,90,8,2,2,102
34005,62,63,36,5,166
46594,10,28,2,1,41
82148,109,20,6,15,150
85387,21,30,2,1,54
53434,137,55,8,10,210
70379,54,45,2,5,106
66904,83,45,74.12481095,3,213
9250,19,3,4,1,27
93600,19,3,2,1,25
55725,60,41,16,11,128
58429,38,8,7,2,55
98588,17,8,2,1,28
50274,57,61,74.12481095,5,227
93712,76,15,54,14,159
29983,46,4,8,11,69
47097,197,22,13,4,236
21865,19,38,2,1,60
73912,68,3,2,16,89
1429,63,9,2,8,82
6417,14,7,2,1,24
23695,68,3,2,1,74
93774,10,5,2,1,18
41683,47,5,2,3,57
59606,64,14,9,23,110
67518,40,29,16,8,93
61212,122,42,2,2,168
35724,26,3,2,1,32
56602,11,5,2,4,22
84351,43,42,2,1,88
86419,99,46,70,6,221
3730,177,21,2,3,203
32851,156,3,2,1,162
82378,115,3,2,1,121
6513,39,14,2,2,57
93356,12,3,2,4,21
84077,106,3,2,1,112
53427,67,82.06801162,19,2,237
11609,48,23,2,1,74
28714,102,50,52,6,210
51004,131,20,55,13,219
86567,101,3,2,1,107
71240,47,8,2,5,62
97707,67,14,10,6,97
35752,204,3,2,30,239
75798,31,31,2,9,73
95173,46,3,2,12,63
55798,97,47,17,4,165
69280,27,8,7,3,45
33417,14,19,2,1,36
4486,29,3,2,1,35
91207,20,3,2,11,36
35008,23,3,2,1,29
36108,87,10,37,37,171
57040,37,31,2,11,81
33737,149,3,2,2,156
28532,186,35,16,8,245
2135,17,3,2,1,23
77341,16,3,2,4,25
87616,41,3,2,1,47
5408,69,78,55,21,223
2967,118,3,2,10,133
5281,41,3,2,20,66
43346,67,5,2,2,76
14918,94,11,22,1,128
6243,124,3,2,5,134
82903,61,55,23,8,147
44952,135,27,2,19,183
17421,98,14,2,1,115
10037,10,3,2,3,18
8058,19,3,2,1,25
96484,147,34,5,4,190
44534,117,29,2,4,152
52749,70,13,60,1,144
72853,14,5,2,1,22
10671,186,79,69,43.06978837,389
92627,57,15,5,1,78
26177,80,22,2,13,117
72426,30,3,2,3,38
36936,33,4,2,8,47
57408,175,19,3,7,204
42901,63,10,2,3,78
20148,55,11,4,1,71
94349,99,38,55,7,199
10217,77,3,2,3,85
50555,73,13,10,10,106
23593,37,7,2,4,50
21221,89,20,2,2,113
21101,139,37,74.12481095,31,330
18205,12,3,2,1,18
34142,64,41,42,43.06978837,218
37611,52,37,20,14,123
53012,22,3,2,1,28
63788,11,3,2,1,17
61923,67,12,2,1,82
40314,146,3,2,10,161
53729,82,11,3,2,98
1081,28,45,2,1,76
80279,79,57,16,7,159
32819,19,3,2,3,27
90356,122,18,2,2,144
28959,49,82.06801162,30,21,188
34209,77,17,74.12481095,12,198
16953,13,3,2,1,19
37411,13,8,2,1,24
48822,125,4,25,16,170
56309,23,6,4,1,34
49011,86,25,2,3,116
88736,128,57,12,9,206
76596,75,3,2,12,92
4998,119,23,17,31,190
30676,130,8,2,12,152
43169,328,3,2,6,339
54690,79,24,2,13,118
70741,75,5,2,1,83
41990,22,24,2,1,49
66078,37,3,2,1,43
81346,64,3,2,1,70
37134,20,10,8,4,42
19008,85,3,2,1,91
11047,13,4,2,1,20
64740,99,19,15,1,134
56107,77,14,2,1,94
25669,13,3,2,1,19
72732,53,14,9,5,81
2138,53,42,28,1,124
38849,149,39,74.12481095,43.06978837,349
31157,39,28,9,3,79
38712,10,3,2,3,18
14780,101,23,2,2,128
24130,80,82.06801162,46,7,228
33548,101,14,41,14,170
61297,12,4,2,1,19
23382,12,5,2,1,20
99579,66,41,14,12,133
47042,81,3,2,1,87
36970,110,20,32,43.06978837,219
1808,80,13,2,1,96
50456,25,3,2,4,34
58882,70,3,5,3,81
1905,88,3,2,43.06978837,139
77718,313,3,2,7,325
49665,137,37,24,17,215
11602,19,11,3,2,35
34233,23,26,9,5,63
26152,79,21,17,8,125
53296,66,20,11,2,99
83496,24,3,2,1,30
31059,17,31,9,19,76
39038,371.5994323,8,2,2,419
89401,35,15,2,16,68
64905,14,3,2,1,20
18176,64,3,2,2,71
71407,61,3,2,4,70
65955,133,42,21,19,215
73974,69,47,35,4,155
44899,52,3,2,1,58
7447,18,3,2,7,30
37287,26,82.06801162,19,2,148
78804,38,37,40,43.06978837,163
95141,12,3,2,1,18
67647,11,3,2,1,17
74858,36,31,38,6,111
17782,50,22,30,5,107
76799,50,3,2,1,56
48865,92,36,11,7,146
48861,26,4,2,9,41
28374,121,3,2,1,127
30815,94,3,2,7,106
66568,29,33,17,17,96
45494,43,17,32,43.06978837,142
734,53,17,32,1,103
94436,86,3,2,2,93
3455,13,3,2,1,19
53120,137,3,2,8,150
52270,11,3,2,1,17
25173,10,5,2,1,18
89954,137,24,63,1,225
21958,127,3,2,39,171
59707,43,33,2,1,79
29346,14,11,2,1,28
27529,64,21,18,3,106
97892,74,3,2,6,85
94884,127,3,2,2,134
59412,32,33,2,1,68
12456,20,3,2,7,32
49673,33,18,3,18,72
44505,47,11,8,2,68
15438,41,3,2,4,50
74119,35,65,6,1,107
35105,62,9,40,7,118
21535,11,3,2,1,17
14217,22,3,2,1,28
23045,145,3,2,1,151
74686,13,3,2,1,19
13387,201,24,2,3,230
61461,44,72,9,7,132
