ID,CNT_TBM,CNT_ATM,CNT_POS,CNT_CSC,CNT_TOT
81111,123.0,29.0,19.0,12.0,183.0
74681,95.0,3.0,2.0,1.0,101.0
21084,79.0,32.0,2.0,4.0,117.0
10051,112.0,3.0,2.0,1.0,118.0
60352,36.0,8.0,2.0,1.0,47.0
9639,19.0,15.0,4.0,13.0,51.0
5761,93.0,27.0,19.0,22.0,161.0
64651,19.0,3.0,2.0,3.0,27.0
55882,54.0,23.0,34.0,39.0,150.0
74579,66.0,21.0,2.0,1.0,90.0
8798,16.0,6.0,11.0,2.0,35.0
55595,76.0,44.0,53.0,2.0,175.0
62655,99.0,19.0,22.0,10.0,150.0
62066,70.0,7.0,50.0,7.0,134.0
14780,101.0,23.0,2.0,2.0,128.0
45582,51.0,32.0,29.0,1.0,113.0
22070,52.0,27.0,5.0,3.0,87.0
232,75.0,13.0,2.0,2.0,92.0
76182,25.0,34.0,19.0,1.0,79.0
51638,80.0,13.0,2.0,1.0,96.0
39869,135.0,43.0,30.0,1.0,209.0
27935,118.0,7.0,2.0,10.0,137.0
60987,20.0,3.0,2.0,1.0,26.0
37328,371.59943230000005,3.0,2.0,1.0,446.3551916
34125,48.0,47.0,13.0,7.0,115.0
70971,16.0,28.0,15.0,1.0,60.0
44952,135.0,27.0,2.0,19.0,183.0
19615,205.0,3.0,2.0,1.0,211.0
77944,13.0,3.0,2.0,2.0,20.0
15915,47.0,3.0,2.0,10.0,62.0
94251,31.0,10.0,4.0,7.0,52.0
12916,53.0,3.0,2.0,1.0,59.0
28139,106.0,35.0,35.0,4.0,180.0
82375,100.0,40.0,12.0,1.0,153.0
55131,121.0,18.0,15.0,4.0,158.0
95124,103.0,35.0,14.0,29.0,181.0
42885,33.0,5.0,2.0,1.0,41.0
67168,24.0,24.0,2.0,1.0,51.0
50908,79.0,25.0,2.0,1.0,107.0
65052,290.0,22.0,20.0,1.0,333.0
88246,34.0,41.0,3.0,1.0,79.0
