ID,Basket
4,"other vegetables,whole milk,condensed milk,long life bakery product"
5,"whole milk,butter,yogurt,rice,abrasive cleaner"
7,"other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)"
8,pot plants
9,"whole milk,cereals"
11,"citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes"
13,"frankfurter,rolls/buns,soda"
14,"chicken,tropical fruit"
15,"butter,sugar,fruit/vegetable juice,newspapers"
17,packaged fruit/vegetables
19,specialty bar
20,other vegetables
21,"butter milk,pastry"
22,whole milk
24,"tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner"
25,"bottled water,canned beer"
27,"sausage,rolls/buns,soda,chocolate"
28,other vegetables
29,"brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags"
31,"hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins"
32,"root vegetables,other vegetables,whole milk,beverages,sugar"
33,"pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner"
36,fruit/vegetable juice
37,canned beer
38,"root vegetables,other vegetables,whole milk,dessert"
40,"sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags"
42,"berries,yogurt"
44,"butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers"
47,rolls/buns
49,"root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product"
51,canned beer
52,"ham,grapes,other vegetables,whole milk"
53,"turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice"
55,"whole milk,curd,yogurt,pastry"
61,"sausage,pastry"
62,"sausage,beef,whole milk"
64,"rolls/buns,pastry,soda"
65,whole milk
68,"sausage,whole milk,curd"
69,"tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate"
70,red/blush wine
72,"frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers"
73,"whole milk,meat spreads,soda"
74,frozen potato products
75,"other vegetables,whole milk,rolls/buns,sugar"
78,"sugar,bottled water,soda,bottled beer"
80,chocolate
89,soda
90,berries
92,"citrus fruit,butter milk,yogurt,cream cheese "
95,"grapes,photo/film"
97,"chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent"
99,"citrus fruit,tropical fruit"
102,"frankfurter,rolls/buns,bottled water"
103,"sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags"
107,"whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags"
109,"tropical fruit,pip fruit"
112,"whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers"
113,"berries,whipped/sour cream"
119,"fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags"
121,"packaged fruit/vegetables,dessert,semi-finished bread,canned beer"
122,"pastry,soda"
123,"other vegetables,red/blush wine"
125,"frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles"
127,specialty bar
128,"sausage,butter milk,rolls/buns"
134,"curd,flour,liquor (appetizer)"
135,"tropical fruit,other vegetables,coffee"
140,"frankfurter,sausage,whole milk,rolls/buns,margarine"
141,"other vegetables,misc. beverages,canned beer"
143,whole milk
144,"citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers"
145,"frankfurter,rolls/buns"
146,"frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder"
149,"pasta,popcorn"
150,"other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags"
151,"sausage,pork,citrus fruit,dessert,white bread,dishes,candles"
152,rolls/buns
155,"coffee,shopping bags"
156,popcorn
157,"whole milk,rolls/buns,sugar,bottled water,soda"
160,"whole milk,butter,dessert,rolls/buns"
161,"frankfurter,soda,chewing gum"
162,"tropical fruit,specialty cheese,bottled water"
163,canned beer
166,"hamburger meat,root vegetables,whole milk"
168,"finished products,white wine,shopping bags"
171,other vegetables
173,bottled beer
174,"curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags"
175,"whole milk,cream cheese ,cereals,dog food"
177,"dessert,ice cream"
178,"sausage,soft cheese,coffee"
180,"ham,whole milk,rolls/buns"
182,"other vegetables,bottled water"
185,"frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles"
190,dog food
194,soda
195,"beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread"
197,"pork,beef,pip fruit,herbs,spices"
198,"frankfurter,citrus fruit,UHT-milk,margarine,sugar"
201,specialty chocolate
206,"pork,root vegetables,other vegetables,whole milk,dishes"
207,"citrus fruit,pastry"
208,pot plants
209,"rolls/buns,pastry,soda"
211,"condensed milk,sugar,coffee,shopping bags"
214,"sausage,pork,beef,whole milk,rolls/buns,margarine"
217,"bottled water,fruit/vegetable juice"
220,"sausage,soda,newspapers,shopping bags"
222,"sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware"
223,"misc. beverages,newspapers"
224,white wine
225,"sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags"
229,canned beer
230,"tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags"
236,"root vegetables,beverages,Instant food products,pickled vegetables,detergent"
237,"root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns"
238,"whole milk,whipped/sour cream,semi-finished bread,margarine"
239,"citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins"
241,"other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins"
242,"citrus fruit,whole milk,rolls/buns"
248,"pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags"
249,"whole milk,beverages"
250,"rolls/buns,soda"
253,liquor
254,"pip fruit,other vegetables,fruit/vegetable juice"
255,"root vegetables,other vegetables,yogurt"
257,soda
258,"sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers"
261,pork
263,fruit/vegetable juice
264,"pickled vegetables,coffee"
267,"tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins"
268,canned beer
272,"tropical fruit,margarine,rum"
273,"tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles"
274,"citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles"
275,"hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice"
277,"chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns"
281,"packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages"
284,"sausage,whole milk,yogurt,rolls/buns,brown bread,pot plants"
287,"citrus fruit,sugar,sauces"
289,"citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags"
290,sausage
