,basket
2421,"citrus fruit,shopping bags"
2890,"dessert,frozen potato products,specialty chocolate"
8478,"whole milk,hard cheese,bottled beer"
2527,"sausage,pip fruit,whole milk,rolls/buns,soda,chewing gum,shopping bags"
6395,"sausage,meat,whole milk,rolls/buns,cake bar,shopping bags"
8696,"sausage,rolls/buns,pastry,cat food"
9234,other vegetables
4109,"specialty cheese,frozen meals,soda,shopping bags"
1205,"sausage,whole milk,curd,butter milk,whipped/sour cream"
5596,house keeping products
7589,roll products 
2634,"citrus fruit,pip fruit,whole milk,curd,whipped/sour cream,bottled water,bottled beer,specialty chocolate,shopping bags"
8981,"frankfurter,whole milk,yogurt,napkins"
6554,"sausage,spread cheese,rolls/buns"
7940,"sausage,soft cheese,rolls/buns,canned beer"
5968,"sausage,hamburger meat,packaged fruit/vegetables,whole milk,processed cheese,frozen vegetables,rolls/buns,white bread,tea,long life bakery product,cling film/bags,photo/film"
1350,"ice cream,salty snack,waffles"
4610,"pastry,soda"
349,"tropical fruit,whole milk,frozen meals,bottled beer"
4213,"sausage,pip fruit,other vegetables,whole milk,butter,dessert,butter milk,yogurt,whipped/sour cream,hard cheese,mayonnaise,oil,mustard,baking powder,popcorn,long life bakery product,chocolate,candy"
6546,"fish,other vegetables,packaged fruit/vegetables,cat food,pet care,coffee,bottled water,red/blush wine"
1656,sausage
1525,"other vegetables,butter,pastry,napkins,dishes"
1024,"grapes,zwieback,soda,waffles"
4750,"finished products,candy"
5798,"hamburger meat,berries,other vegetables"
3021,"root vegetables,whole milk,roll products "
6301,"pip fruit,whole milk,yogurt,pastry,seasonal products,male cosmetics"
6142,frozen fish
1962,"butter,whipped/sour cream,brown bread,pastry,canned vegetables,fruit/vegetable juice,long life bakery product"
3799,"sausage,root vegetables,whole milk,fruit/vegetable juice,popcorn,candy"
7810,"chicken,tropical fruit,berries,whole milk,whipped/sour cream,beverages,sugar,dishes"
2466,whole milk
7609,"onions,brown bread"
1747,"dessert,frozen dessert"
8444,"frankfurter,hamburger meat,whole milk,coffee,bottled water,bottled beer,waffles,chocolate"
3711,soda
7693,"chicken,citrus fruit,cat food,white wine,shopping bags"
9139,"beef,root vegetables,yogurt,whipped/sour cream"
9032,"tropical fruit,whole milk,butter,butter milk,brown bread,pastry"
9620,chocolate
5732,"sausage,whole milk,yogurt,hard cheese,domestic eggs,brown bread,salty snack,waffles,chocolate,newspapers"
9759,whole milk
5669,"sausage,tropical fruit,other vegetables,beverages,processed cheese,rolls/buns,soda,chewing gum"
9218,"seasonal products,shopping bags"
3408,"citrus fruit,pastry"
4970,"canned beer,newspapers"
162,"tropical fruit,specialty cheese,bottled water"
7069,"curd,yogurt,bathroom cleaner"
8463,"soda,rum"
6702,"pork,root vegetables,whole milk,pickled vegetables,coffee"
4051,"sausage,citrus fruit,tropical fruit,other vegetables,whole milk,butter,whipped/sour cream,hard cheese,domestic eggs,dishes"
3338,"sausage,other vegetables,spread cheese,rolls/buns,soda,salty snack,long life bakery product"
8390,"chicken,other vegetables,whole milk,pastry"
302,canned beer
9203,canned beer
2449,"whole milk,frozen vegetables"
6640,"frankfurter,turkey,tropical fruit,grapes,root vegetables,other vegetables,whole milk,frozen vegetables,frozen meals,frozen potato products,pastry,pickled vegetables,sweet spreads,soda,misc. beverages,salty snack,cake bar,chocolate,detergent,house keeping products"
7966,tropical fruit
6536,"domestic eggs,chocolate marshmallow,newspapers"
1560,beverages
5062,"sausage,whole milk,yogurt,whipped/sour cream,pastry,fruit/vegetable juice,candy"
2980,bottled water
5804,"sausage,beef,citrus fruit,tropical fruit,berries,root vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,cling film/bags"
9196,"frankfurter,yogurt,frozen fish,ice cream,frozen potato products,pastry,margarine,canned fish,soda,bottled beer,salty snack,nut snack,long life bakery product,specialty bar,candy"
3322,bottled beer
659,"whole milk,rolls/buns,detergent"
2364,"berries,other vegetables,whole milk,whipped/sour cream"
7110,"beef,hamburger meat"
8428,"hamburger meat,grapes,whole milk,pastry,pasta,soda"
4679,"sausage,citrus fruit,other vegetables,whipped/sour cream,frozen vegetables,margarine,bottled beer,hygiene articles"
3419,"beef,other vegetables,canned fish"
8060,bottled beer
3246,"frozen fish,canned beer,waffles"
5334,"butter,yogurt"
5041,"sausage,meat,bottled water"
7154,"whole milk,rolls/buns,bottled water"
6477,"rolls/buns,misc. beverages"
4260,"frankfurter,citrus fruit,berries,whole milk,yogurt,domestic eggs,salt,waffles,cake bar"
964,ice cream
7869,"whole milk,instant coffee,bottled beer"
6160,"other vegetables,whole milk,frozen potato products,brown bread,semi-finished bread,salt,canned vegetables"
5451,"sausage,root vegetables,whole milk,whipped/sour cream,rolls/buns,mustard"
5827,"canned beer,shopping bags"
6677,"whole milk,beverages,bottled beer"
2453,"meat,curd,white bread"
9523,"frankfurter,pork,pip fruit,other vegetables,hard cheese,frozen meals,frozen dessert,pastry,semi-finished bread,sugar,soda,salty snack,specialty chocolate,specialty bar,candy,seasonal products"
2460,"whipped/sour cream,candy"
1623,"sausage,beverages,sliced cheese,rolls/buns,specialty bar,shopping bags"
3417,"citrus fruit,other vegetables,butter,rolls/buns"
7433,"citrus fruit,tropical fruit,rolls/buns,soda,specialty bar"
2064,"chicken,pork,beef,berries,sliced cheese,jam,shopping bags"
5597,"pork,whole milk,bottled water,soda,napkins"
38,"root vegetables,other vegetables,whole milk,dessert"
7977,"soda,bottled beer,liquor,red/blush wine,shopping bags"
9433,"bottled water,soda,fruit/vegetable juice"
5505,"rolls/buns,margarine,bottled water,bottled beer"
8716,hygiene articles
5892,"specialty chocolate,photo/film"
8312,fruit/vegetable juice
7768,"frozen meals,soda,napkins"
139,canned beer
4,"other vegetables,whole milk,condensed milk,long life bakery product"
72,"frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers"
4891,"sausage,ham,soft cheese,hard cheese,coffee,soda,long life bakery product,chocolate"
295,"citrus fruit,packaged fruit/vegetables,yogurt,bottled water"
309,hair spray
840,"packaged fruit/vegetables,whole milk,rolls/buns,pastry"
76,"citrus fruit,whole milk,curd,butter milk,pastry"
4328,"hamburger meat,other vegetables,whole milk,pot plants"
242,"citrus fruit,whole milk,rolls/buns"
2202,"meat,tropical fruit,beverages,sweet spreads,shopping bags"
1847,butter milk
6766,"bottled water,soda"
3354,"pork,packaged fruit/vegetables,whole milk,white bread,liquor,chocolate marshmallow"
9672,white wine
8977,"frankfurter,pork,pip fruit,berries,root vegetables,other vegetables,whole milk,pastry,semi-finished bread,syrup,shopping bags"
9411,"ham,other vegetables,whole milk,dessert,yogurt,pasta,oil,canned fish,coffee,soda,shopping bags"
4807,"citrus fruit,specialty fat"
9022,"domestic eggs,white bread,pastry,canned beer,newspapers"
6179,bottled beer
5108,whole milk
4952,"oil,soda,misc. beverages,canned beer,brandy,salty snack,candy,hygiene articles,shopping bags"
396,"yogurt,chocolate"
1357,"other vegetables,chocolate"
8400,Instant food products
3974,"abrasive cleaner,napkins"
5548,"frankfurter,chicken,pork,tropical fruit,pip fruit,yogurt,whipped/sour cream,frozen vegetables,semi-finished bread,zwieback,flour,vinegar,margarine,pickled vegetables,bottled water,soda,waffles,chocolate,chocolate marshmallow,detergent,napkins"
3493,"dessert,UHT-milk,cream cheese ,domestic eggs,brown bread,coffee,bottled water,soda,shopping bags"
9675,"ham,tropical fruit,whole milk,dessert,butter milk,brown bread,pastry,oil,cake bar,chocolate"
4270,"frankfurter,root vegetables,onions,canned beer"
1365,"ham,herbs,other vegetables,curd,yogurt,cream cheese ,light bulbs"
1843,"citrus fruit,rolls/buns,bottled water,red/blush wine,newspapers"
1748,canned beer
3491,"cereals,detergent"
7541,"hamburger meat,berries,other vegetables,whole milk,beverages,soft cheese,hard cheese,pastry,sauces,waffles"
4947,"whole milk,rolls/buns,salt"
6695,"frankfurter,margarine,newspapers,shopping bags"
6784,"ham,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter milk,domestic eggs,rolls/buns,pastry,mustard,pickled vegetables,soda,long life bakery product,chocolate,specialty chocolate,specialty bar,chocolate marshmallow,candy,napkins,cookware,newspapers"
5506,"sausage,soda"
469,"frankfurter,margarine,dental care"
4894,"coffee,sparkling wine,dish cleaner"
2282,"curd,whipped/sour cream,pudding powder,candy,flower (seeds),shopping bags"
5488,"tropical fruit,berries,whole milk,butter,butter milk,brown bread"
3497,"sausage,margarine,newspapers"
3103,"sausage,other vegetables,cream cheese ,domestic eggs,soda"
1788,"pork,white bread,pastry,shopping bags"
487,"dessert,candy"
6596,bottled water
4995,"frankfurter,tropical fruit,other vegetables,rolls/buns,bottled water,soda,fruit/vegetable juice,salty snack,waffles"
1813,"frankfurter,citrus fruit,rolls/buns,flour,long life bakery product"
4512,"whole milk,frozen vegetables,frozen meals,cereals,bottled beer"
2746,"whipped/sour cream,condensed milk,domestic eggs,flour,oil,sugar"
6418,seasonal products
1272,"beef,domestic eggs,rolls/buns,flour,candy"
2829,"sausage,rolls/buns,soda,chocolate"
4678,"bottled water,soda"
9313,waffles
4928,"whipped/sour cream,margarine,long life bakery product"
946,"whole milk,rolls/buns,shopping bags"
383,"onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags"
5307,"UHT-milk,mustard"
4210,"herbs,whole milk,sliced cheese,rolls/buns,pastry,bottled water,waffles"
4484,"whole milk,butter,yogurt,rolls/buns,candles,newspapers"
5878,"root vegetables,bottled beer,chocolate"
1693,"citrus fruit,tropical fruit,grapes,dessert,cream cheese ,rolls/buns,bottled water,fruit/vegetable juice"
6508,"whole milk,beverages"
4233,"pork,whole milk,yogurt,UHT-milk,sliced cheese,ice cream,soda,fruit/vegetable juice,napkins"
5224,"soft cheese,ice cream"
8672,"meat,tropical fruit,vinegar,spices,cling film/bags"
739,"sausage,root vegetables,other vegetables,whole milk,bottled beer,seasonal products"
2825,"beef,root vegetables,other vegetables,margarine,salty snack,waffles,specialty chocolate,kitchen towels,newspapers"
4701,"tropical fruit,brown bread,pastry"
4355,brown bread
4889,"yogurt,frozen dessert"
4228,other vegetables
6808,"pork,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,cream cheese ,frozen vegetables,frozen meals,Instant food products,soda,fruit/vegetable juice,salty snack,specialty bar"
7872,"frankfurter,grapes,yogurt,coffee,bottled water"
2053,"other vegetables,dessert,waffles,light bulbs"
2544,"whole milk,newspapers"
4758,"pip fruit,whole milk,ready soups,canned fish,soda"
6115,photo/film
678,"frankfurter,ham,whole milk,yogurt,rolls/buns,pastry,vinegar,sugar,soda,fruit/vegetable juice,napkins"
8302,"rolls/buns,margarine,bottled water,soda,red/blush wine,chocolate,candy,newspapers"
3415,"rolls/buns,oil"
4949,whole milk
1218,"beef,hamburger meat,other vegetables,rolls/buns,brown bread,bottled water,soda,bottled beer,canned beer"
8724,"grapes,white wine,dishes"
4743,citrus fruit
4736,"rolls/buns,Instant food products"
7702,"soda,bottled beer"
5716,specialty chocolate
402,"whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags"
3280,"soda,specialty chocolate,newspapers"
2584,"sausage,citrus fruit,other vegetables,hard cheese,cream cheese ,frozen dessert,artif. sweetener,coffee,cling film/bags,newspapers"
8786,"whole milk,curd,yogurt,soft cheese,detergent,newspapers"
6344,"beef,citrus fruit,rice,dog food,soda,fruit/vegetable juice,dishes,shopping bags"
3878,"sausage,brown bread,margarine,bottled beer"
5248,"chicken,pork,margarine,specialty fat,bottled beer"
6479,"tropical fruit,dessert,UHT-milk,cream cheese ,frozen vegetables,brown bread,misc. beverages"
8710,"whole milk,butter,yogurt,brown bread,bottled water,soda,fruit/vegetable juice,long life bakery product,newspapers"
9554,"whole milk,coffee"
268,canned beer
200,canned beer
5205,"meat,other vegetables,salty snack"
5099,soda
5765,"pork,pip fruit,root vegetables,curd,yogurt,whipped/sour cream,UHT-milk,domestic eggs,salt,margarine,ketchup"
9102,"pastry,fruit/vegetable juice"
50,"sausage,rolls/buns,cat food,newspapers"
6581,"sausage,pork,yogurt,spread cheese,cereals,canned vegetables,salty snack,cling film/bags,shopping bags"
1964,"ham,tropical fruit,specialty cheese,long life bakery product,hygiene articles,newspapers"
5628,"citrus fruit,tropical fruit,onions,UHT-milk,specialty fat,instant coffee,bottled water,soda,fruit/vegetable juice,bottled beer,salty snack,newspapers"
4421,white bread
5192,"misc. beverages,canned beer"
2170,"tropical fruit,other vegetables"
9549,zwieback
5603,"salt,cling film/bags"
6229,"frankfurter,citrus fruit,grapes,rolls/buns,pastry,fruit/vegetable juice,chocolate,candy,shopping bags"
2595,"chicken,sugar,photo/film"
5862,"onions,whole milk,canned beer,hygiene articles,shopping bags"
374,"rolls/buns,newspapers"
4855,"liver loaf,whole milk,yogurt,condensed milk,specialty cheese,white bread"
340,"sausage,citrus fruit,whole milk,canned beer"
5533,"yogurt,beverages,domestic eggs,rolls/buns,pastry,soda,long life bakery product,chocolate,chocolate marshmallow,napkins"
8620,"curd,yogurt"
1318,"pip fruit,root vegetables,other vegetables,whole milk,chewing gum,kitchen towels"
5013,misc. beverages
362,"pastry,fruit/vegetable juice"
3973,"beef,root vegetables,other vegetables,frozen dessert,pastry,vinegar,margarine,sugar,cat food,coffee,bottled beer,cling film/bags,candles,pot plants"
9,"whole milk,cereals"
4739,"whole milk,fruit/vegetable juice"
1645,canned beer
2515,"hard cheese,honey,candy"
9739,chicken
2284,"hard cheese,soda"
6327,"other vegetables,rolls/buns"
9548,"cream cheese ,rolls/buns,fruit/vegetable juice"
7111,"citrus fruit,onions,soups"
9194,"other vegetables,whole milk,dessert,sliced cheese,hard cheese,cream cheese ,pastry,margarine,sugar,ready soups,bottled water,soda,salty snack,newspapers,shopping bags"
1364,"citrus fruit,misc. beverages,liquor,cling film/bags"
7485,whipped/sour cream
42,"berries,yogurt"
963,chocolate
9251,"other vegetables,whole milk,cream cheese ,frozen meals,rolls/buns,brown bread,bottled water,newspapers"
4877,"sausage,pork,sliced cheese,frozen potato products,white bread,soda,waffles"
160,"whole milk,butter,dessert,rolls/buns"
1547,napkins
8560,whole milk
8792,"other vegetables,whole milk,rice,fruit/vegetable juice"
4925,bottled beer
1872,whole milk
8004,"meat,nuts/prunes,canned beer"
7415,misc. beverages
1126,"tropical fruit,other vegetables,whole milk,curd,whipped/sour cream,bottled beer"
6740,"sausage,meat,chicken,hamburger meat,tropical fruit,herbs,other vegetables,ice cream,white bread,soda,specialty chocolate,dish cleaner,abrasive cleaner"
941,"onions,herbs,bottled beer"
3816,"dessert,nut snack,specialty chocolate"
4231,"citrus fruit,other vegetables,whole milk,butter,pastry,oil,bottled water,bottled beer,detergent"
259,"root vegetables,whole milk,pet care,detergent"
5646,"citrus fruit,other vegetables,yogurt"
