ID,CNT_TBM,CNT_ATM,CNT_POS,CNT_CSC,CNT_TOT
41360,34,3,3,9,49
52094,44,17,5,18,84
57340,122,26,32,36,216
76885,42,3,6,1,52
89150,20,15,2,2,39
94512,83,20,49,3,155
96396,33,9,49,17,108
98062,22,5,9,1,37
122779,21,27,2,1,51
125838,127,3,2,3,135
137317,52,20,2,11,85
147896,101,40,8,1,150
150206,156,52,80,4,292
160501,31,32,42,12,117
176820,107,3,2,1,113
187784,54,14,7,24,99
189200,92,3,2,2,99
198327,44,27,17,3,91
200237,146,3,2,1,152
207980,39,5,2,4,50
227355,180,3,2,10,195
228317,46,14,2,1,63
228906,25,3,2,1,31
229984,15,3,2,1,21
241022,13,3,2,1,19
253260,65,3,2,1,71
257910,35,3,2,1,41
261717,11,5,2,1,19
266600,15,3,2,1,21
269176,107,78,22,7,214
273510,110,15,6,21,152
302929,13,3,2,1,19
311940,16,15,16,1,48
341023,55,21,2,1,79
347091,17,14,7,1,39
375426,32,3,2,3,40
388852,18,3,2,1,24
404194,73,11,37,6,127
414364,49,11,2,1,63
417191,122,25,19,7,173
417996,133,27,7,1,168
420459,25,3,2,1,31
427493,27,31,39,52,149
434975,19,3,2,1,25
441474,19,3,2,1,25
469447,11,9,2,1,23
484515,59,36,2,10,107
489111,118,3,2,2,125
494168,199,3,2,1,205
504965,38,12,2,1,53
529476,76,3,2,1,82
548357,15,8,3,1,27
559012,76,3,2,1,82
599726,51,10,50,9,120
600359,112,24,28,5,169
629637,11,4,2,1,18
638213,166,14,6,3,189
641370,49,3,2,5,59
667651,93,22,27,3,145
696561,42,3,2,1,48
716261,60,46,2,1,109
755205,33,29,4,1,67
765932,186,50,12,18,266
766047,96,8,10,5,119
767265,12,6,2,1,21
772700,23,4,2,1,30
776709,40,3,2,1,46
778879,16,37,9,1,63
780357,51,24,2,1,78
785401,20,11,2,2,35
794342,191,21,2,11,225
803963,27,7,2,1,37
816976,14,5,2,1,22
858113,10,4,2,1,17
872299,119,13,17,15,164
891864,117,12,2,1,132
893304,14,11,3,1,29
899736,38,25,14,2,79
904410,16,4,2,1,23
942859,14,5,2,1,22
948961,211,21,4,1,237
964154,94,17,56,12,179
987437,17,3,2,1,23
993476,11,6,2,1,20
995997,188,5,2,2,197
997417,97,17,8,24,146
999996,25,85,15,6,131
1042998,17,3,2,2,24
1064704,1024,3,2,33,1062
1064731,20,37,2,2,61
1067051,79,18,2,5,104
1079463,12,3,2,1,18
1081759,53,21,23,55,152
1085242,94,7,2,1,104
1090812,227,28,76,26,357
1104403,49,3,2,1,55
1110480,190,3,2,11,206
1121453,25,11,24,26,86
1126673,51,19,2,8,80
1147225,54,36,37,19,146
1149223,25,32,3,3,63
1149433,27,3,2,1,33
1151911,81,88,86,46,301
1189420,14,37,38,1,90
1191887,107,38,60,5,210
1198314,11,3,2,1,17
1202405,18,14,8,2,42
1217236,77,13,2,2,94
1250537,102,23,32,20,177
1254942,170,95,40,12,317
1258533,157,8,2,3,170
1276424,19,7,2,1,29
1280471,194,31,4,1,230
1284276,13,3,2,1,19
1290045,91,3,2,17,113
1296079,66,4,2,4,76
1305374,35,53,70,10,168
1306224,180,3,2,27,212
1310114,58,3,2,9,72
1334535,11,3,2,1,17
1352356,71,38,2,10,121
1367745,15,3,2,3,23
1374288,64,23,40,29,156
1374351,87,35,23,24,169
1387608,12,3,2,1,18
1395604,67,14,3,1,85
1412859,66,14,70,1,151
1413185,60,14,18,4,96
1421269,93,3,2,1,99
1428714,83,12,4,12,111
1434126,67,36,43,12,158
1439866,117,67,3,2,189
1443044,95,8,2,2,107
1454002,569,3,2,8,582
1471061,72,3,2,1,78
1471421,39,16,2,9,66
1479999,22,28,2,1,53
1499528,10,8,2,1,21
1515549,10,3,2,2,17
1518124,20,3,2,3,28
1522816,345,51,2,16,414
1530597,81,24,4,1,110
1532078,12,3,2,1,18
1541975,10,28,2,1,41
1558803,78,18,4,1,101
1566186,43,21,56,41,161
1569261,11,15,2,5,33
1572913,11,3,3,1,18
1578231,22,8,2,8,40
1581108,18,25,2,1,46
1581133,26,15,4,2,47
1583756,55,3,2,2,62
1592143,123,3,2,2,130
1603893,34,3,2,1,40
1617077,51,16,2,2,71
1620381,199,3,2,2,206
1621870,420,3,2,2,427
1636631,287,20,26,9,342
1654868,99,29,26,1,155
1662817,207,60,2,6,275
1665107,35,33,2,21,91
1666169,12,8,2,1,23
1676184,33,12,2,8,55
1696116,36,31,12,1,80
1707667,11,8,2,1,22
1707701,103,29,87,1,220
1712039,52,41,21,25,139
1720618,32,3,2,1,38
1721703,100,40,2,5,147
1727701,13,3,2,2,20
1727767,37,3,2,6,48
1731937,39,18,2,9,68
1745202,52,51,16,15,134
1747537,10,13,2,2,27
1762053,16,12,6,1,35
1777852,27,41,11,1,80
1780971,39,51,131,40,261
1806221,86,22,40,11,159
1807957,19,59,2,1,81
1809028,114,3,2,1,120
1820979,14,3,2,1,20
1828853,105,19,2,2,128
1829210,38,26,37,1,102
1858358,11,5,2,1,19
1860885,59,45,2,2,108
1861100,138,15,16,26,195
1878860,13,4,2,1,20
1888294,53,3,2,1,59
1940864,31,6,2,1,40
1945099,23,3,16,18,60
1951315,14,4,2,1,21
1955596,56,3,2,5,66
1963038,21,7,2,1,31
1964627,44,99,15,12,170
1993530,18,25,3,1,47
1994437,23,3,2,1,29
1994655,46,44,33,10,133
1999565,110,3,2,5,120
2009292,26,53,14,7,100
2010470,11,3,2,2,18
2011568,691,3,2,7,703
2012422,66,14,54,1,135
2016078,68,3,2,3,76
2022296,72,3,2,2,79
2039975,119,3,4,11,137
2042837,14,3,2,1,20
2043101,20,3,2,1,26
2044626,80,25,2,4,111
2049108,88,21,28,1,138
2049466,37,26,4,5,72
2051398,30,3,2,1,36
2053325,280,3,2,6,291
2058059,118,31,31,3,183
2076704,12,3,2,3,20
2078336,70,29,2,1,102
2079352,22,94,2,1,119
2086295,68,19,43,9,139
2100641,33,58,20,1,112
2119525,65,46,2,1,114
2123114,11,3,2,3,19
2128617,55,56,2,1,114
2141189,148,21,7,11,187
2142497,172,3,2,1,178
2142687,27,41,22,7,97
2159766,129,3,17,1,150
2166117,113,95,5,3,216
2171584,38,3,2,1,44
2172173,27,65,22,1,115
2174463,149,57,23,63,292
2174621,64,47,2,42,155
2184535,72,3,2,1,78
2193607,35,4,2,1,42
2203937,75,13,2,2,92
2214035,41,15,3,1,60
2239614,86,3,2,1,92
2251545,77,24,2,2,105
2255606,47,81,20,3,151
