地区,年份,考生类别,批次,分数线
北京,2014,理科,本科一批,543
北京,2014,理科,本科二批,495
北京,2014,理科,本科三批,466
北京,2014,文科,本科一批,565
北京,2014,文科,本科二批,507
北京,2014,文科,本科三批,458
天津,2014,理科,本科一批,516
天津,2014,理科,本科二批,439
天津,2014,理科,本科三批,353
天津,2014,文科,本科一批,523
天津,2014,文科,本科二批,462
天津,2014,文科,本科三批,366
河北,2014,理科,本科一批,573
河北,2014,理科,本科二批,503
河北,2014,理科,本科三批,326
河北,2014,理科,专科一批,200
河北,2014,文科,本科一批,563
河北,2014,文科,本科二批,513
河北,2014,文科,本科三批,415
河北,2014,文科,专科一批,200
河南,2014,理科,本科一批,547
河南,2014,理科,本科二批,476
河南,2014,理科,本科三批,400
河南,2014,文科,本科一批,536
河南,2014,文科,本科二批,483
河南,2014,文科,本科三批,425
山东,2014,理科,本科一批,572
山东,2014,理科,本科二批,460
山东,2014,文科,本科一批,579
山东,2014,文科,本科二批,490
山西,2014,理科,本科一批,534
山西,2014,理科,本科二批,462
山西,2014,理科,本科三批,300
山西,2014,文科,本科一批,526
山西,2014,文科,本科二批,478
山西,2014,文科,本科三批,375
陕西,2014,理科,本科一批,503
陕西,2014,理科,本科二批,452
陕西,2014,理科,本科三批,342
陕西,2014,文科,本科一批,548
陕西,2014,文科,本科二批,492
陕西,2014,文科,本科三批,387
内蒙古,2014,理科,本科一批,501
内蒙古,2014,理科,本科二批,388
内蒙古,2014,理科,本科三批,336
内蒙古,2014,文科,本科一批,525
内蒙古,2014,文科,本科二批,455
内蒙古,2014,文科,本科三批,404
辽宁,2014,理科,本科一批,526
辽宁,2014,理科,本科二批,450
辽宁,2014,理科,本科三批,380
辽宁,2014,文科,本科一批,552
辽宁,2014,文科,本科二批,490
辽宁,2014,文科,本科三批,430
吉林,2014,理科,本科一批,555
吉林,2014,理科,本科二批,445
吉林,2014,理科,本科三批,350
吉林,2014,文科,本科一批,560
吉林,2014,文科,本科二批,459
吉林,2014,文科,本科三批,350
黑龙江,2014,理科,本科一批,529
黑龙江,2014,理科,本科二批,414
黑龙江,2014,文科,本科一批,541
黑龙江,2014,文科,本科二批,454
上海,2014,理科,本科一批,423
上海,2014,理科,本科二批,351
上海,2014,文科,本科一批,444
上海,2014,文科,本科二批,390
江苏,2014,理科,本科一批,345
江苏,2014,理科,本科二批,312
江苏,2014,理科,本科三批,272
江苏,2014,文科,本科一批,333
江苏,2014,文科,本科二批,301
江苏,2014,文科,本科三批,279
安徽,2014,理科,本科一批,489
安徽,2014,理科,本科二批,438
安徽,2014,理科,本科三批,409
安徽,2014,文科,本科一批,541
安徽,2014,文科,本科二批,500
安徽,2014,文科,本科三批,469
江西,2014,理科,本科一批,526
江西,2014,理科,本科二批,471
江西,2014,理科,本科三批,438
江西,2014,文科,本科一批,524
江西,2014,文科,本科二批,479
江西,2014,文科,本科三批,450
湖北,2014,理科,本科一批,533
湖北,2014,理科,本科二批,471
湖北,2014,理科,本科三批,380
湖北,2014,文科,本科一批,535
湖北,2014,文科,本科二批,482
湖北,2014,文科,本科三批,417
湖南,2014,理科,本科一批,522
湖南,2014,理科,本科二批,442
湖南,2014,理科,本科三批,386
湖南,2014,文科,本科一批,562
湖南,2014,文科,本科二批,501
湖南,2014,文科,本科三批,453
重庆,2014,理科,本科一批,514
重庆,2014,理科,本科二批,455
重庆,2014,理科,本科三批,422
重庆,2014,理科,专科一批,213
重庆,2014,理科,专科二批,150
重庆,2014,文科,本科一批,555
重庆,2014,文科,本科二批,507
重庆,2014,文科,本科三批,466
重庆,2014,文科,专科一批,234
重庆,2014,文科,专科二批,160
四川,2014,理科,本科一批,540
四川,2014,理科,本科二批,475
四川,2014,理科,本科三批,446
四川,2014,文科,本科一批,551
四川,2014,文科,本科二批,500
四川,2014,文科,本科三批,476
贵州,2014,理科,本科一批,484
贵州,2014,理科,本科二批,382
贵州,2014,文科,本科一批,569
贵州,2014,文科,本科二批,489
云南,2014,理科,本科一批,525
云南,2014,理科,本科二批,445
云南,2014,理科,本科三批,400
云南,2014,文科,本科一批,565
云南,2014,文科,本科二批,500
云南,2014,文科,本科三批,450
广东,2014,理科,本科一批,560
广东,2014,理科,本科二批,504
广东,2014,理科,本科三批,465
广东,2014,文科,本科一批,579
广东,2014,文科,本科二批,534
广东,2014,文科,本科三批,483
广西,2014,理科,本科一批,520
广西,2014,理科,本科二批,407
广西,2014,理科,本科三批,326
广西,2014,文科,本科一批,550
广西,2014,文科,本科二批,463
广西,2014,文科,本科三批,404
福建,2014,理科,本科一批,506
福建,2014,理科,本科二批,408
福建,2014,理科,专科一批,246
福建,2014,文科,本科一批,561
福建,2014,文科,本科二批,482
福建,2014,文科,专科一批,357
甘肃,2014,理科,本科一批,516
甘肃,2014,理科,本科二批,459
甘肃,2014,理科,本科三批,350
甘肃,2014,理科,专科一批,220
甘肃,2014,文科,本科一批,543
甘肃,2014,文科,本科二批,499
甘肃,2014,文科,本科三批,446
甘肃,2014,文科,专科一批,345
宁夏,2014,理科,本科一批,473
宁夏,2014,理科,本科二批,440
宁夏,2014,理科,本科三批,320
宁夏,2014,文科,本科一批,517
宁夏,2014,文科,本科二批,486
宁夏,2014,文科,本科三批,370
新疆,2014,理科,本科一批,475
新疆,2014,理科,本科二批,405
新疆,2014,理科,本科三批,360
新疆,2014,文科,本科一批,516
新疆,2014,文科,本科二批,446
新疆,2014,文科,本科三批,389
西藏,2014,理科,本科一批,460
西藏,2014,理科,本科二批,310
西藏,2014,理科,本科三批,288
西藏,2014,文科,本科一批,500
西藏,2014,文科,本科二批,355
西藏,2014,文科,本科三批,323
海南,2014,理科,本科一批,606
海南,2014,理科,本科二批,542
海南,2014,理科,本科三批,482
海南,2014,文科,本科一批,666
海南,2014,文科,本科二批,590
海南,2014,文科,本科三批,498
浙江,2014,理科,本科一批,597
浙江,2014,理科,本科二批,420
浙江,2014,理科,专科一批,288
浙江,2014,文科,本科一批,621
浙江,2014,文科,本科二批,485
浙江,2014,文科,专科一批,292
青海,2014,理科,本科一批,406
青海,2014,理科,本科二批,362
青海,2014,理科,本科三批,330
青海,2014,文科,本科一批,473
青海,2014,文科,本科二批,426
青海,2014,文科,本科三批,386
