apply,pared,public,gpa
3,0,0,3.26
2,1,0,3.21
1,1,1,3.94
2,0,0,2.81
2,0,0,2.53
1,0,1,2.59
2,0,0,2.56
2,0,0,2.73
1,0,0,3
2,1,0,3.5
1,1,1,3.65
2,0,0,2.84
3,0,1,3.9
2,0,0,2.68
1,1,0,3.57
1,0,0,3.09
1,0,1,3.5
1,0,0,2.17
3,0,1,3.36
2,0,0,3.4
3,0,0,2.75
2,1,0,3.2
1,0,0,2.44
1,0,0,2.83
1,0,1,3
2,0,1,3.27
2,1,0,3.14
2,0,0,3.37
3,0,1,2.79
1,0,0,2.9
2,0,0,3.38
1,0,1,2.95
1,0,0,2.98
1,1,1,3.81
1,0,0,2.74
1,0,0,2.62
1,0,0,2.85
2,0,0,2.5
2,0,0,2.75
1,0,0,2.26
1,0,0,2.03
2,1,0,2.85
1,0,0,2.72
2,0,0,2.89
2,1,0,2.47
1,0,0,3.04
1,0,0,3.1
1,0,0,2.57
1,0,0,2.09
2,0,0,2.94
1,0,0,3.45
1,0,0,2.76
3,0,1,2.96
1,0,0,2.89
2,0,0,2.97
2,0,1,3.91
2,0,0,2.77
1,0,0,2.51
1,0,0,3.24
1,0,0,2.44
2,0,0,2.78
1,0,0,2.94
1,1,0,3.22
1,0,0,3.5
3,1,0,3.57
2,0,0,3.17
1,0,1,3.23
1,0,0,2.91
1,0,0,3.28
1,0,1,3.32
1,0,0,3.62
1,0,0,2.55
1,0,0,2.97
3,1,0,3.63
1,0,1,3.02
1,0,1,3.6
1,0,0,2.95
3,1,1,3.81
2,1,0,2.68
1,1,0,3.72
1,0,0,2.49
1,0,0,2.72
1,1,0,2.25
1,0,0,2.53
1,0,0,3.26
3,0,0,2.57
1,0,0,2.9
1,0,0,3.05
2,0,0,2.85
2,0,0,4
3,1,0,3.4
2,0,1,3.24
1,0,1,3.51
3,0,0,2.55
1,0,0,3.06
3,0,0,3
2,0,0,3.13
1,0,0,3.16
2,0,0,2.47
2,0,0,2.89
1,0,0,2.74
1,0,0,3.16
1,0,0,2.92
2,0,0,3.57
2,1,0,3.49
2,0,1,2.56
2,1,0,3.12
2,1,0,2.65
2,0,0,2.51
2,0,0,3.08
2,0,0,2.65
1,0,0,2.99
1,0,0,2.63
2,0,0,2.8
2,0,1,3.46
1,0,0,3.61
1,0,0,3.08
1,1,0,3.28
1,0,1,3.31
1,0,0,2.57
2,0,0,3.39
1,0,0,2.26
1,0,0,2.42
1,0,0,2.6
2,1,1,3.44
2,0,0,2.98
2,1,0,3.09
1,0,1,3.34
1,0,0,2.84
1,0,0,2.81
1,0,0,2.79
1,0,0,2.4
1,0,0,3.02
2,0,0,2.65
2,0,0,2.55
2,1,0,3.12
1,0,0,2.98
3,1,0,3.61
1,0,0,2.98
1,0,0,3.19
1,0,0,3.51
1,0,0,3.1
1,0,0,3.55
1,0,0,2.98
3,0,0,2.99
1,0,0,3.05
1,0,0,2.99
1,0,0,2.32
1,0,0,2.5
1,0,1,2.9
3,1,1,3.28
2,0,0,2.95
2,0,0,3.54
2,0,0,3.11
1,1,0,3.25
1,0,0,2.44
1,0,0,2.13
2,0,0,3.22
2,0,0,3.16
1,0,0,3.39
2,0,0,2.7
2,0,0,3.09
2,0,0,3.16
1,0,0,2.28
1,0,0,2.91
1,0,0,3.65
1,0,0,2.86
1,0,1,3.39
1,0,0,3.71
1,0,0,3.25
1,0,0,3.14
1,0,0,2.41
2,0,0,3.08
1,0,1,3.02
2,0,0,3.15
3,0,0,2.95
