USERID,最近一次消费间隔,年消费次数,年消费金额,R,F,M,RFM,Label
142074,813,2,9408.9,1,2,5,125,流失客户
56927,481,2,8826.9,5,2,5,525,重要价值客户
87058,680,2,11898.0,2,2,5,225,新客户
136104,818,1,5999.0,1,1,5,115,流失客户
117831,818,1,5399.0,1,1,5,115,流失客户
151069,818,1,4548.0,1,1,5,115,流失客户
124094,568,4,4451.9,4,4,5,445,重要唤回客户
107268,785,2,6884.0,1,2,5,125,流失客户
146768,476,3,4277.9,5,3,5,535,重要价值客户
121834,807,2,4001.9,1,2,5,125,流失客户
154068,517,2,4098.0,4,2,5,425,重要深耕客户
55156,585,2,3848.0,3,2,5,325,潜力客户
64562,500,3,3690.8,5,3,5,535,重要价值客户
125593,649,2,7287.0,3,2,5,325,潜力客户
117760,701,2,3528.0,2,2,5,225,新客户
135673,818,1,3488.0,1,1,5,115,流失客户
113584,539,3,6010.0,4,3,5,435,重要深耕客户
159480,603,2,7347.0,3,2,5,325,潜力客户
153742,804,2,3847.0,1,2,5,125,流失客户
117957,818,1,3099.0,1,1,5,115,流失客户
136767,818,1,2672.0,1,1,5,115,流失客户
97925,661,2,4498.0,2,2,5,225,新客户
122326,818,1,2588.0,1,1,5,115,流失客户
92480,818,1,2499.0,1,1,5,115,流失客户
62330,635,2,2567.9,3,2,5,325,潜力客户
64655,592,3,6944.9,3,3,5,335,重要挽留客户
76294,504,2,2291.2,5,2,5,525,重要价值客户
107527,818,1,2199.0,1,1,4,114,流失客户
100323,522,3,5878.0,4,3,5,435,重要深耕客户
89435,818,1,2198.0,1,1,4,114,流失客户
151826,743,2,2658.0,1,2,5,125,流失客户
65315,575,2,2157.0,4,2,4,424,重要深耕客户
150505,818,1,1999.0,1,1,4,114,流失客户
70555,818,1,1988.0,1,1,4,114,流失客户
86102,555,3,1954.9,4,3,4,434,重要深耕客户
118357,552,4,3220.7,4,4,5,445,重要唤回客户
121566,818,1,1348.0,1,1,4,114,流失客户
67800,818,1,1200.0,1,1,4,114,流失客户
83610,818,1,1198.0,1,1,4,114,流失客户
162424,818,1,1139.0,1,1,4,114,流失客户
94579,471,3,3323.9,5,3,5,535,重要价值客户
59009,565,4,4118.2,4,4,5,445,重要唤回客户
96211,818,1,999.0,1,1,4,114,流失客户
138800,818,1,998.0,1,1,4,114,流失客户
140249,461,3,1019.9,5,3,4,534,重要价值客户
60051,502,2,5999.0,5,2,5,525,重要价值客户
