User country,Nr. hotel reviews,Helpful votes,Score,Traveler type,Pool,Gym,Spa,Free internet,Hotel name,Hotel stars,Nr. rooms,User continent
USA,4,13,5,Friends,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
USA,21,75,3,Business,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
USA,9,25,5,Families,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
UK,7,14,4,Friends,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,Europe
Canada,5,2,4,Solo,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
Canada,8,27,3,Couples,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
UK,12,46,4,Couples,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,Europe
USA,1,4,4,Families,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
India,3,8,4,Friends,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,Asia
Canada,7,11,3,Families,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
USA,24,58,2,Families,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
Australia,9,24,3,Friends,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,Oceania
USA,6,9,2,Friends,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
USA,5,13,3,Friends,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
UK,3,0,3,Friends,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,Europe
New Zeland,17,33,4,Families,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,Oceania
Canada,8,9,1,Families,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
USA,3,1,4,Families,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
Canada,9,19,3,Couples,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
USA,7,26,2,Couples,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
UK,5,2,4,Couples,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,Europe
New Zeland,3,3,1,Couples,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,Oceania
UK,7,19,4,Families,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,Europe
USA,4,3,2,Couples,NO,YES,NO,YES,Circus Circus Hotel & Casino Las Vegas,3,3773,North America
Ireland,11,15,4,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Europe
USA,42,52,4,Business,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
Canada,12,17,5,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
UK,18,36,3,Business,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Europe
USA,10,28,5,Solo,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
Ireland,7,9,5,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Europe
Canada,8,13,5,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
Australia,3,2,3,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Oceania
Canada,8,7,3,Solo,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
Egypt,12,8,3,Friends,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Africa
Australia,9,15,4,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Oceania
Finland,7,4,3,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Europe
USA,27,24,4,Friends,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
Kenya,3,7,4,Friends,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Africa
USA,263,299,4,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
USA,6,9,2,Families,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
Jordan,8,21,3,Business,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Europe
Canada,5,59,3,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
Netherlands,3,3,3,Families,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Europe
Ireland,6,27,4,Friends,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Europe
USA,8,19,4,Families,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,North America
UK,0,4,4,Friends,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Europe
UK,47,54,4,Couples,YES,YES,YES,YES,Excalibur Hotel & Casino,3,3981,Europe
