sku_id,brand,name,parameters2,price,maprice
100002493099,手机通讯,黑鲨游戏手机2 8GB+128GB 暗影黑 骁龙855 Magic Press立体操控 塔式全域液冷 全面屏 全网通4G 双卡双待,"[""商品名称：黑鲨游戏手机2"",""商品编号：100002493099"",""商品毛重：0.615kg"",""商品产地：中国大陆"",""系统：安卓（Android）"",""机身厚度：普通（8.5mm以上）"",""拍照特点：智能拍照，后置双摄像头"",""屏幕配置：符合全面屏比例"",""后置摄像头像素：2000万及以上"",""电池容量：4000mAh-5999mAh"",""多卡支持：双卡双待双4G"",""4G LTE网络特性：MIMO多天线技术"",""热点：人工智能，人脸识别，屏下指纹，快速充电，液冷散热"",""运行内存：8GB"",""前置摄像头像素：2000万及以上"",""网络制式：4G LTE全网通"",""机身颜色：黑色系"",""游戏配置：游戏模式，ID差异化设计，游戏音效增强，游戏显示增强，游戏深度适配/调优"",""机身内存：128GB""]",3499.00,9999.00
100000287133,手机通讯,Apple iPhone XS (A2100) 64GB 金色 移动联通电信4G手机,"[""商品名称：AppleiPhone XS"",""商品编号：100000287133"",""商品毛重：440.00g"",""商品产地：中国"",""系统：ios系统""]",7799.00,15000.00
100000177756,手机通讯,Apple iPhone XR (A2108) 64GB 白色 移动联通电信4G手机 双卡双待,"[""商品名称：AppleiPhone XR"",""商品编号：100000177756"",""商品毛重：460.00g"",""商品产地：中国"",""系统：ios系统""]",5549.00,15000.00
6946603,手机通讯,华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G手机 双卡双待,"[""商品名称：华为P20 Pro"",""商品编号：6946603"",""商品毛重：500.00g"",""商品产地：中国大陆"",""多卡支持：双卡双待单4G"",""机身厚度：薄（7mm-8.5mm）"",""拍照特点：光学变焦，智能拍照"",""电池容量：4000mAh-5999mAh"",""机身颜色：黑色系"",""热点：人脸识别，快速充电，人工智能"",""运行内存：6GB"",""系统：安卓（Android）"",""游戏配置：游戏模式"",""屏幕配置：符合全面屏比例"",""后置摄像头像素：2000万及以上"",""机身内存：128GB"",""网络制式：4G LTE全网通""]",3998.00,10000.00
100000177760,手机通讯,Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G手机 双卡双待,"[""商品名称：AppleiPhone XR"",""商品编号：100000177760"",""商品毛重：460.00g"",""商品产地：中国"",""系统：ios系统""]",6049.00,15000.00
7120000,手机通讯,小米6X 全网通 6GB+64GB 赤焰红 移动联通电信4G手机 双卡双待 智能手机 拍照手机,"[""商品名称：小米6X"",""商品编号：7120000"",""商品毛重：405.00g"",""商品产地：中国大陆"",""多卡支持：双卡双待双4G"",""机身厚度：薄（7mm-8.5mm）"",""拍照特点：后置双摄像头"",""电池容量：3000mAh-3999mAh"",""机身颜色：红色系"",""热点：人工智能，快速充电"",""运行内存：6GB"",""老人机配置：智能机（老龄模式）"",""系统：安卓（Android）"",""屏幕配置：符合全面屏比例"",""后置摄像头像素：2000万及以上"",""机身内存：64GB"",""网络制式：4G LTE全网通""]",1299.00,3000.00
8058010,手机通讯,荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,"[""商品名称：华为荣耀Note10"",""商品编号：8058010"",""商品毛重：0.59kg"",""商品产地：中国大陆"",""系统：安卓（Android）"",""机身厚度：薄（7mm-8.5mm）"",""4G LTE网络特性：VOLTE 4G通话"",""电池容量：4000mAh-5999mAh"",""后置摄像头像素：2000万及以上"",""机身颜色：黑色系"",""热点：人工智能，快速充电"",""运行内存：6GB"",""前置摄像头像素：800万-1599万"",""多卡支持：双卡双待单4G"",""网络制式：4G LTE全网通"",""游戏配置：游戏模式"",""机身内存：64GB"",""屏幕配置：符合全面屏比例""]",2599.00,9999.00
8535863,手机通讯,魅族 16th 全面屏游戏手机 6GB+64GB 静夜黑 全网通移动联通电信4G手机 双卡双待,"[""商品名称：魅族 16th"",""商品编号：8535863"",""商品毛重：460.00g"",""商品产地：中国大陆"",""系统：安卓（Android）"",""机身厚度：薄（7mm-8.5mm）"",""拍照特点：后置双摄像头"",""4G LTE网络特性：其他"",""运行内存：6GB"",""游戏配置：游戏模式"",""屏幕配置：符合全面屏比例"",""电池容量：3000mAh-3999mAh"",""机身颜色：黑色系"",""热点：屏下指纹"",""前置摄像头像素：2000万及以上"",""老人机配置：远程协助"",""网络制式：4G LTE全网通"",""后置摄像头像素：2000万及以上"",""机身内存：64GB"",""多卡支持：双卡双待单4G""]",2298.00,9999.00
8552168,手机通讯,OPPO R17 2500万美颜拍照 6.4英寸水滴屏 光感屏幕指纹 8G+128G 流光蓝 全网通 移动联通电信4G 双卡双待手机,"[""商品名称：OPPO R17"",""商品编号：8552168"",""商品毛重：0.57kg"",""商品产地：中国大陆"",""系统：安卓（Android）"",""拍照特点：后置双摄像头"",""机身颜色：深蓝色系"",""电池容量：3000mAh-3999mAh"",""后置摄像头像素：1200万-1999万"",""4G LTE网络特性：移动4G+"",""热点：屏下指纹"",""运行内存：8GB"",""前置摄像头像素：2000万及以上"",""多卡支持：双卡双待单4G"",""网络制式：4G LTE全网通"",""游戏配置：游戏模式"",""机身内存：128GB"",""屏幕配置：符合全面屏比例""]",2799.00,9999.00
8570968,手机通讯,小米8 全面屏游戏智能手机 8GB+128GB 蓝色 全网通4G 双卡双待,"[""商品名称：小米小米8"",""商品编号：8570968"",""商品毛重：430.00g"",""商品产地：中国大陆"",""系统：安卓（Android）"",""机身厚度：薄（7mm-8.5mm）"",""拍照特点：后置双摄像头"",""网络制式：4G LTE全网通"",""机身内存：128GB"",""机身颜色：深蓝色系"",""热点：人脸识别，快速充电，人工智能"",""运行内存：8GB"",""前置摄像头像素：2000万及以上"",""多卡支持：双卡双待双4G"",""屏幕配置：符合全面屏比例"",""后置摄像头像素：1200万-1999万"",""老人机配置：智能机（老龄模式）"",""电池容量：3000mAh-3999mAh""]",2899.00,6000.00
41563312675,手机通讯,小米9 骁龙855 游戏手机 深空灰 全网通6GB+128GB,"[""商品名称：小米（MI）小米9"",""商品编号：41563312675"",""店铺： "",""商品毛重：0.6kg"",""多卡支持：双卡双待单4G"",""拍照特点：后置三摄"",""电池容量：3000mAh-3999mAh"",""热点：人工智能"",""前置摄像头像素：2000万及以上"",""游戏配置：游戏模式"",""后置摄像头像素：2000万及以上"",""屏幕配置：水滴屏"",""机身厚度：薄（7mm-8.5mm）""]",3199.00,5999.00
