poor_rate,good_rate,good_count,general_count,poor_count,after_count,average_score,sku_id,good_name
0.003,0.99,85000,300,300,200,5,4502057,泰
0.007,0.99,100000,400,400,200,5,25790603479,苏
0.011,0.97,290000,4200,3400,1100,5,3712995,佳
0.005,0.98,220000,1500,1300,700,5,11916822540,苏
0,1,20,0,0,0,5,37842033406,华
0,0.98,60,1,0,1,5,30150473649,三
0,1,200,0,0,2,5,30583172219,华
0,0.99,400,4,0,1,5,28421633757,华
0,0.99,100,1,0,0,5,16233552344,尼
0,1,30,0,0,0,5,27380262781,三
0,1,70,0,0,0,5,30889886207,小
0,1,7,0,0,0,5,36832084008,艾
0,0.98,70,1,0,0,5,25951700189,【
0.05,0.9,10,1,1,0,5,33435491473,魅
0.01,0.97,90,1,1,1,5,40258172902,华
0.06,0.94,80,0,5,1,5,20050669694,华
0,1,2,0,0,0,5,42846806950,魅
0,0.95,20,1,0,0,5,13974656174,B
0,1,70,0,0,4,5,40989981677,小
0.007,0.99,300,1,2,4,5,30191596695,天
0.037,0.96,300,1,9,3,5,28411434904,美
0,1,8,0,0,0,5,35226091828,三
0,1,200,0,0,0,5,32295258829,O
0.013,0.96,300,8,5,8,5,36125064258,魅
0.004,0.98,2000,10,9,10,5,35145301785,飞
0.007,0.99,3400,10,10,10,5,34641171638,【
0.008,0.98,500,5,5,0,5,29673526967,荣
0,1,5,0,0,0,5,40735372122,飞
0,1,7,0,0,0,5,41754731270,【
0,1,30,0,0,0,5,40647722819,小
0.01,0.99,1100,1,2,0,5,33314930372,小
0,1,200,0,0,4,5,37853718946,V
0,1,5,0,0,0,5,41259117670,捷
0,1,0,0,0,0,5,41819056243,华
0.007,0.98,4100,30,30,20,5,27458443487,海
0.15,0.85,10,0,2,1,4,41459191492,海
0.021,0.97,300,3,4,4,5,19679361716,金
0.018,0.98,700,2,6,8,5,39278458818,华
0.002,0.99,600,4,2,2,5,40041991390,诺
0.008,0.97,900,10,8,20,5,12575469042,A
0,0.83,5,1,0,0,5,43170232396,小
0.013,0.98,200,2,3,1,5,16018679503,守
0.013,0.98,2000,10,10,10,5,38918603836,纽
0,1,7,0,0,0,5,42813572292,3
0.01,0.99,200,0,1,3,5,32908487991,华
0,1,90,0,0,0,5,33107095821,A
0.014,0.98,400,3,4,1,5,24752998454,亿
0.043,0.94,50,1,2,1,5,13729423748,华
0.018,0.98,900,2,9,7,5,32858702835,【
0.002,0.98,300,4,1,10,5,31824069699,3
0.2,0.8,4,0,1,0,4,40461105294,华
0,1,200,0,0,1,5,16590754165,A
0,1,0,0,0,0,5,43735560543,小
0.001,0.99,1100,2,2,10,5,30196951403,华
0,1,10,0,0,0,5,33434519638,华
0,1,40,0,0,0,5,35142032738,华
0.022,0.97,1000,9,10,9,5,28470562496,小
0.017,0.98,500,2,6,10,5,11277567982,三
0.04,0.96,50,0,2,0,5,32788984298,誉
0.017,0.98,200,1,4,3,5,39271426941,华
0,1,40,0,0,0,5,37237212215,三
0,1,10,0,0,0,5,32564781360,守
0.05,0.95,100,0,8,1,5,33541950652,华
0.08,0.92,20,0,2,0,5,41502713405,【
0.023,0.97,2900,20,40,7,5,27663664990,N
0.026,0.97,200,1,4,2,5,39031643117,华
0.008,0.99,700,2,5,5,5,28976205794,华
0.009,0.97,600,10,6,2,5,18255262000,守
0.017,0.98,4000,10,30,70,5,30832430095,华
0,0.98,100,2,0,0,5,30008503657,A
0.005,0.98,16000,90,90,300,5,33577099057,A
0,1,20,0,0,0,5,33125272778,华
0,1,1,0,0,0,4,39762565398,小
0,1,1,0,0,0,5,30386675761,华
0.016,0.98,2300,10,20,10,5,28739711975,小
0,1,100,0,0,7,5,29573954342,爱
0.01,0.97,90,1,1,3,5,14711397115,华
0.009,0.99,500,1,2,3,5,34195570182,O
0.25,0.75,3,0,1,0,4,32402394273,欧
0,1,50,0,0,0,5,34667160277,赠
0,1,3,0,0,0,5,40447407006,【
0.022,0.97,100,1,2,1,5,31865442222,华
0.08,0.92,10,0,1,0,5,32568190874,华
0.007,0.99,4300,10,20,10,5,28980530626,华
0,1,0,0,0,0,5,42103293046,飞
0.05,0.95,40,0,2,0,5,33423914028,魅
0.039,0.94,200,6,8,3,5,35748953927,海
0,1,10,0,0,0,5,38815209745,中
0.008,0.99,9100,20,20,20,5,30189924135,小
0,1,10,0,0,0,5,38054561713,创
0.008,0.99,1700,4,6,4,5,32107831921,v
0.1,0.9,9,0,1,0,5,40130809710,华
0,1,6,0,0,0,5,41917110103,魅
0.015,0.98,2100,10,20,10,5,30190020143,华
0,1,100,0,0,2,5,38370796655,美
0.017,0.98,2100,8,20,10,5,18601046767,A
0,1,0,0,0,0,5,40392313141,华
0.022,0.97,600,6,9,5,5,15198980382,A
0.07,0.93,20,0,2,1,5,41747107457,小
0.013,0.97,70,1,1,0,5,18171657491,华
0,0.98,100,2,0,2,5,25896517615,华
0,1,20,0,0,1,5,42369024357,三
0.013,0.98,800,6,7,9,5,1993982432,一
0,0.95,20,1,0,0,5,27049661887,飞
0,1,40,0,0,0,5,34362251050,小
0.05,0.95,20,0,1,0,5,40354462959,华
0.01,0.99,200,0,2,3,5,31349972644,康
0,1,70,0,0,2,5,33944268151,华
0,0.98,70,1,0,0,5,29783792591,捷
0.008,0.98,400,4,4,4,5,34261240003,华
0,1,0,0,0,0,5,43254594526,畅
0.026,0.96,200,4,7,2,5,28613277898,中
0,1,0,0,0,0,5,43990322330,小
0.022,0.97,200,2,3,1,5,26652887908,华
0,1,7,0,0,0,5,41471839500,华
0.009,0.99,1100,2,7,8,5,34658742006,华
0.01,0.99,100,0,1,10,5,39967923146,海
0,1,50,0,0,1,5,26730171096,三
0.013,0.98,4200,30,30,30,5,40711487703,3
0,1,0,0,0,0,5,43618813940,酷
0,1,6,0,0,1,5,27518427630,中
0.021,0.97,100,1,2,2,5,41862892255,小
0.019,0.98,700,1,10,6,5,34187135336,华
0.007,0.98,100,1,1,0,5,14860618554,易
0,0.98,200,4,0,4,5,44219995055,A
0.016,0.98,5800,20,30,40,5,26642544051,华
0,1,4,0,0,0,5,42163110115,小
0.024,0.97,300,2,5,4,5,23270778604,中
0,0.8,4,1,0,0,5,43706510278,小
0.001,0.99,8500,10,10,30,5,100000695447,飞
0,1,6,0,0,0,5,32522920814,华
0.023,0.97,300,3,6,4,5,18788544799,酷
0.002,0.99,400,1,1,2,5,29788853909,华
0.014,0.98,400,3,5,5,5,27143857709,华
0,0.98,50,1,0,0,5,32173186129,3
0.038,0.88,20,2,1,0,5,41512528968,A
0.007,0.97,100,3,1,0,5,27276062429,小
0,1,2,0,0,0,5,39257224804,【
0,1,0,0,0,0,5,42749028142,三
0.013,0.98,8700,60,90,100,5,7437380,黑
0,1,30,0,0,0,5,19999232794,华
0.01,0.97,90,1,1,1,5,36437446249,华
0.017,0.98,700,3,6,10,5,39893740710,华
0.002,0.99,4000,10,10,10,5,100000695445,飞
0.014,0.98,400,3,4,1,5,30801929338,B
0.04,0.96,60,0,2,0,5,42380696675,三
0,1,4,0,0,0,5,40584781864,A
0,1,20,0,0,1,5,41857734282,华
0.016,0.98,4000,10,30,30,5,34371096358,O
0.016,0.98,800,4,7,4,5,24028476402,华
0,1,0,0,0,0,5,40980940902,华
0.003,0.99,4600,20,10,60,5,26509457902,O
0,1,20,0,0,1,5,37620847228,飞
0.016,0.98,1000,5,6,3,5,34954408775,飞
0.015,0.98,3100,10,40,30,5,32835603935,小
0,1,6,0,0,0,5,27617872973,S
0.06,0.94,50,0,3,0,5,29008772407,尼
0.002,0.99,400,3,1,2,5,29506837380,华
0,0.99,100,1,0,0,5,29238970958,华
0.012,0.96,200,5,3,3,5,41532566978,华
0.014,0.98,6300,40,50,100,5,31426193263,O
0,1,10,0,0,0,5,36080286293,魅
0,1,0,0,0,0,5,43843323823,华
0,0.98,50,1,0,2,5,38694269964,H
0,1,0,0,0,0,5,42824974869,A
0,0.95,20,1,0,0,5,38694094489,魅
0,1,0,0,0,0,5,43345255253,华
0,0.98,80,1,0,1,5,32506203307,华
0,1,1,0,0,0,5,43292328741,纽
0.005,0.98,100,1,1,3,5,31648226664,纽
0,1,2,0,0,0,5,29252363835,华
0.006,0.98,8200,60,50,70,5,28998887599,华
0.008,0.99,1300,4,6,10,5,18173362110,华
0,1,3,0,0,0,5,43232734987,小
0.024,0.97,1800,10,30,5,5,27293987181,创
0.002,0.99,900,4,2,1,5,12054576636,B
0.06,0.94,10,0,1,0,5,39860910403,华
0,0.97,30,1,0,0,5,30498532562,n
0.001,0.99,9900,20,10,30,5,23928557015,飞
0,1,0,0,0,0,5,43897313232,华
0.003,0.99,31000,100,100,200,5,6009118,守
0.08,0.92,20,0,2,1,5,32970628318,乐
0.014,0.98,400,3,4,4,5,25167934789,金
0,1,10,0,0,0,5,37562296714,白
0.006,0.99,18000,80,90,80,5,100000260076,O
0,1,20,0,0,0,5,41578166244,华
0.014,0.98,2900,20,30,20,5,13444511150,波
0,1,30,0,0,0,5,40040933025,努
0,1,1,0,0,0,5,41349162485,华
0,1,100,0,0,7,5,41164332909,飞
0.037,0.94,100,4,5,4,5,41705110200,努
0,1,10,0,0,0,5,35579422166,华
0.018,0.98,2300,5,20,10,5,26191836734,三
0,0.99,100,1,0,1,5,38787310654,三
0,1,0,0,0,0,5,34313974728,美
0.02,0.98,200,0,3,1,5,38346068158,小
0,1,10,0,0,0,5,30281255500,华
0.014,0.98,800,6,8,50,5,33918937963,朵
0,1,1,0,0,0,5,43304753737,捷
0.015,0.98,700,4,7,10,5,34679332308,华
0,1,10,0,0,0,5,42291088114,华
0,1,7,0,0,0,5,42401596249,三
0,0.99,100,1,0,0,5,19106069216,捷
0.008,0.99,57000,100,200,100,5,29199143054,小
0,1,6,0,0,0,5,43231991409,誉
0.01,0.99,1000,1,6,0,5,28997987139,锐
0.009,0.94,90,5,1,1,5,32899387364,华
0.13,0.87,7,0,1,0,5,42640600476,A
0.017,0.98,500,2,7,10,5,16890375412,A
0.04,0.96,30,0,1,0,5,35922929083,华
0.015,0.98,800,5,10,6,5,24218866890,金
0,1,10,0,0,0,5,35547094153,华
0,1,20,0,0,0,5,31218392813,华
0.016,0.98,200,1,2,2,5,100000561568,飞
0,1,0,0,0,0,5,43498809020,S
0,0.99,100,1,0,1,5,28656213473,华
0,0.99,100,1,0,3,5,36109957978,H
0.016,0.98,200,1,2,3,5,34801921822,华
0,1,1,0,0,0,5,41247945167,飞
0.012,0.97,80,1,1,1,5,29664376338,华
0,1,5,0,0,0,5,40493607387,华
0,1,3,0,0,0,5,43362852115,正
0.04,0.96,30,0,1,0,5,37304440931,华
0.014,0.98,800,5,6,6,5,25199762600,波
0.026,0.97,200,1,4,0,5,27590350947,酷
0.022,0.97,2300,20,30,10,5,33609951757,魅
0,1,20,0,0,0,5,29559546307,华
0,1,10,0,0,0,5,34843121811,华
0.014,0.98,2000,10,20,5,5,16590255397,A
0.003,0.98,800,7,3,5,5,24288977699,华
0.018,0.98,300,1,4,0,5,32401887183,小
0.005,0.98,100,1,1,4,5,38249524656,华
0.014,0.98,1400,10,10,9,5,26729230277,华
0,1,10,0,0,0,5,37051690253,华
0.012,0.98,11000,90,90,90,5,2195032,飞
0.004,0.99,90000,400,300,1100,5,3718259,守
0,1,5,0,0,0,5,35112979107,中
0.001,0.99,2000,10,4,8,5,31798589194,捷
0.021,0.97,500,5,7,3,5,31416025589,华
0.009,0.97,4100,70,40,80,5,34273530459,M
0.023,0.97,1300,10,20,10,5,33580268850,魅
0.03,0.97,40,0,1,1,5,42365928111,【
0.036,0.96,400,2,10,3,5,17128572145,中
0.017,0.97,300,5,6,9,5,100001671375,中
0,1,8,0,0,0,5,42088515919,小
0.08,0.92,20,0,2,0,5,31475074874,O
0.022,0.97,700,7,10,8,5,13140322463,A
0.009,0.99,1000,2,4,5,5,25204420771,波
0,1,100,0,0,1,5,32603626808,小
0.009,0.99,500,1,3,10,5,100002644640,S
0.009,0.99,2000,3,7,3,5,30894434258,纽
0,1,10,0,0,0,5,32964615510,A
0,1,0,0,0,0,5,44176925149,v
0.011,0.97,100,2,2,0,5,36928496924,创
0,0.96,100,4,0,0,5,20229223593,木
0.011,0.96,400,9,5,10,5,34224182534,M
0,1,50,0,0,0,5,26123184383,金
0,1,10,0,0,0,5,41049476543,飞
0,1,7,0,0,0,5,36190399539,s
0.2,0.8,4,0,1,0,4,41495796043,联
0.016,0.98,6800,30,50,60,5,16588833833,A
0,1,0,0,0,0,5,41500443318,黑
0.042,0.95,300,3,10,5,5,10125995359,三
0.01,0.99,100,0,1,0,5,40786087048,飞
0.01,0.99,100,0,1,0,5,27580215943,魅
0.022,0.97,8700,70,100,60,5,24219603353,魅
0.007,0.99,3100,10,10,20,5,34594273604,华
0.009,0.98,100,1,1,1,5,27031180330,纽
0.05,0.95,20,0,1,0,5,39041125747,华
0.009,0.99,800,1,4,7,5,30839132107,B
0.013,0.98,800,6,9,10,5,26512884734,小
0.013,0.96,200,6,4,6,5,41577926014,3
0,1,20,0,0,0,5,35764215459,小
0.01,0.99,100,0,1,1,5,35021404447,华
0.009,0.99,800,1,2,10,5,31005219429,诺
0.005,0.98,300,2,2,2,5,32733439053,华
0,1,20,0,0,0,5,34703073549,华
0.015,0.98,4500,20,30,30,5,11767005997,华
0.038,0.94,300,7,10,2,5,21577002237,迪
0.06,0.94,10,0,1,1,5,41768440051,天
0.08,0.92,10,0,1,0,5,32406740353,小
1,0,0,0,1,0,1,43134251519,飞
0.045,0.94,100,3,7,3,5,26827037265,华
0.016,0.98,3200,10,30,20,5,28060533203,一
0.02,0.98,60,0,1,1,5,19983271449,华
0,1,90,0,0,1,5,40299792286,天
0.029,0.96,80,1,2,0,5,35032975649,迪
0.027,0.97,200,1,5,10,5,11158203358,A
0,1,3,0,0,1,5,42484132861,酷
0.09,0.89,40,1,4,0,5,28446628557,中
0,1,100,0,0,1,5,33263708862,【
0.014,0.98,6300,40,50,100,5,40348401672,O
0,1,80,0,0,0,5,31260243046,移
0,1,0,0,0,0,5,100004404928,华
0.34,0.66,2,0,1,0,4,40513533886,小
0,1,7,0,0,0,5,43306906843,华
0,1,20,0,0,0,5,29352925174,华
0,1,30,0,0,0,5,41039084425,r
0.019,0.97,12000,100,100,100,5,100002332138,三
0,1,7,0,0,0,5,42272188522,华
0.05,0.95,70,0,4,3,5,20906386715,创
0.006,0.98,2300,20,10,3,5,30415542116,创
0.05,0.95,20,0,1,0,5,38381552898,纽
0,1,10,0,0,0,5,43693608694,多
0.015,0.98,600,4,7,10,5,22628862018,A
0,1,20,0,0,0,5,27606933217,飞
0,1,4,0,0,0,5,36816691430,华
0.016,0.98,500,3,7,3,5,27057668384,索
0.022,0.97,200,2,4,3,5,28780390368,小
0.008,0.99,400,1,3,4,5,15785125783,华
0.02,0.98,90,0,1,0,5,26614785370,华
0,1,0,0,0,0,5,43017381592,华
0.08,0.92,20,0,2,1,5,42342408999,华
0.016,0.98,200,1,2,2,5,28777229271,美
0.003,0.98,800,6,3,10,5,16927861946,金
0.01,0.99,200,0,1,0,5,27600717256,三
0.001,0.99,600,1,1,2,5,35819339841,京
0,1,0,0,0,0,5,42754759701,三
0,1,6,0,0,0,5,35756857797,赠
0,0.95,20,1,0,1,5,39934030582,联
0,1,0,0,0,0,5,41636795624,【
0,1,100,0,0,1,5,27697368430,易
0,1,0,0,0,0,5,41127822875,诺
0.012,0.93,70,4,1,1,5,35760498752,联
0,1,0,0,0,0,5,40513065958,小
0,0.97,80,2,0,1,5,30506188033,联
0.012,0.98,1800,10,10,20,5,35701710602,魅
0,1,40,0,0,0,5,43144630820,小
0,1,30,0,0,0,5,32326450268,小
0.02,0.97,25000,200,300,400,5,100000993249,联
0.017,0.98,500,2,5,4,5,35026075563,华
0.003,0.99,900,6,3,8,5,27397685161,华
0,1,2,0,0,0,5,35589135298,海
0.014,0.98,2900,10,20,10,5,27930303775,京
0,0.98,90,1,0,1,5,32955495540,A
0,1,20,0,0,0,5,33492753301,华
0,1,10,0,0,0,5,39876042304,飞
0.012,0.97,700,10,10,3,5,32561702252,华
0.029,0.96,3300,30,80,20,5,10120347315,联
0.005,0.98,1000,6,6,10,5,19898566672,小
0.12,0.88,8,0,1,1,5,30829918002,小
0,1,5,0,0,0,5,30798047458,摩
0,1,10,0,0,0,5,30493729421,中
0.01,0.99,100,0,1,2,5,40659175111,华
0.009,0.99,1700,3,9,20,5,38564416973,华
0.015,0.98,100,1,2,1,5,30359021456,华
0.003,0.99,300,1,1,7,5,39245873625,华
0.02,0.98,100,0,2,0,5,28446937772,A
0.01,0.99,500,0,4,4,5,28971944272,华
0.023,0.97,1100,9,10,40,5,34414167689,A
0,1,0,0,0,0,5,100004193528,O
0,1,2,0,0,0,5,43358891913,3
0.015,0.98,23000,100,100,100,5,32082979222,O
0.022,0.97,1700,10,30,20,5,31937058172,努
0.039,0.95,300,4,10,1,5,27425500231,华
0.01,0.99,200,0,1,2,5,32961896248,A
0.009,0.99,2100,3,4,9,5,13331618969,B
0.04,0.96,20,0,1,0,5,38575131545,捷
0,0.99,100,1,0,4,5,34830646520,华
0,1,100,0,0,1,5,35835521097,纽
0,1,100,0,0,0,5,28679173214,诺
0,0.99,300,1,0,8,5,39918852205,M
0.003,0.99,2400,10,8,50,5,35608763838,O
0.015,0.96,200,4,4,2,5,36415657269,魅
0.051,0.94,90,1,5,0,5,33578940992,酷
0.017,0.98,700,3,6,3,5,16234994885,尼
0.013,0.97,400,8,7,10,5,28209009267,魅
0,1,10,0,0,0,5,43140372898,金
0.028,0.94,30,1,1,1,5,28177368695,华
0.008,0.97,200,4,2,0,5,30501112044,小
0.004,0.98,100,2,1,2,5,40256963649,小
0.008,0.99,700,2,4,3,5,29243853828,小
0.009,0.97,300,4,3,5,5,29316360386,华
0,1,40,0,0,1,5,32519666014,华
0.02,0.97,29000,300,300,100,5,10119532340,守
0.023,0.97,1500,10,20,20,5,35499923438,【
0.01,0.99,500,0,4,3,5,38237578599,O
0,1,10,0,0,0,5,39936898408,酷
0,1,20,0,0,0,5,31864349543,华
0,1,100,0,0,3,5,37247333527,联
0,1,10,0,0,0,5,37428344137,华
0.007,0.99,120000,400,400,500,5,5980401,守
0,1,0,0,0,0,5,44136237850,华
0.004,0.98,45000,200,200,300,5,7717260,v
0,1,0,0,0,0,5,42748216442,三
0.01,0.99,100,0,1,1,5,33521290835,华
0.017,0.98,1200,4,10,6,5,27386342750,N
0,0.97,30,1,0,1,5,41882380508,小
0,1,30,0,0,0,5,35245506946,小
0.019,0.97,200,3,4,40,5,100003837716,中
0,1,3,0,0,0,5,43066037614,优
0.05,0.95,20,0,1,1,5,37825261642,努
